" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",India,2012,73,3552992,1692707,1860285,0.3,0.3,0.3,91.0
"Custom Region",India,2012,74,3247748,1536658,1711090,0.3,0.2,0.3,89.8
"Custom Region",India,2012,75,2949722,1385411,1564311,0.2,0.2,0.3,88.6
"Custom Region",India,2012,76,2660246,1239716,1420530,0.2,0.2,0.2,87.3
"Custom Region",India,2012,77,2380469,1100137,1280332,0.2,0.2,0.2,85.9
"Custom Region",India,2012,78,2111486,967178,1144308,0.2,0.2,0.2,84.5
"Custom Region",India,2012,79,1854317,841280,1013037,0.2,0.1,0.2,83.0
"Custom Region",India,2012,80,1608526,722056,886470,0.1,0.1,0.2,81.5
"Custom Region",India,2012,81,1376463,610651,765812,0.1,0.1,0.1,79.7
"Custom Region",India,2012,82,1162243,509108,653135,0.1,0.1,0.1,77.9
"Custom Region",India,2012,83,967289,417963,549326,0.1,0.1,0.1,76.1
"Custom Region",India,2012,84,792561,337505,455056,0.1,0.1,0.1,74.2
"Custom Region",India,2012,85-89,2056444,840536,1215908,0.2,0.1,0.2,69.1
"Custom Region",India,2012,90-94,442120,164625,277495,0.0,0.0,0.0,59.3
"Custom Region",India,2012,95-99,50644,16967,33677,0.0,0.0,0.0,50.4
"Custom Region",India,2012,100+,2802,851,1951,0.0,0.0,0.0,43.6
