" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Norway,2013,Total,5085582,2554663,2530919,100.0,100.0,100.0,100.9
"Custom Region",Norway,2013,0,60993,31293,29700,1.2,1.2,1.2,105.4
"Custom Region",Norway,2013,1,61292,31470,29822,1.2,1.2,1.2,105.5
"Custom Region",Norway,2013,2,62578,32097,30481,1.2,1.3,1.2,105.3
"Custom Region",Norway,2013,3,64008,32826,31182,1.3,1.3,1.2,105.3
"Custom Region",Norway,2013,4,64178,32972,31206,1.3,1.3,1.2,105.7
"Custom Region",Norway,2013,5,63084,32391,30693,1.2,1.3,1.2,105.5
"Custom Region",Norway,2013,6,62421,32047,30374,1.2,1.3,1.2,105.5
"Custom Region",Norway,2013,7,61691,31644,30047,1.2,1.2,1.2,105.3
"Custom Region",Norway,2013,8,60964,31281,29683,1.2,1.2,1.2,105.4
"Custom Region",Norway,2013,9,60810,31247,29563,1.2,1.2,1.2,105.7
"Custom Region",Norway,2013,10,59972,30750,29222,1.2,1.2,1.2,105.2
"Custom Region",Norway,2013,11,60144,30758,29386,1.2,1.2,1.2,104.7
"Custom Region",Norway,2013,12,62022,31788,30234,1.2,1.2,1.2,105.1
"Custom Region",Norway,2013,13,63443,32442,31001,1.2,1.3,1.2,104.6
"Custom Region",Norway,2013,14,63379,32365,31014,1.2,1.3,1.2,104.4
"Custom Region",Norway,2013,15,63932,32813,31119,1.3,1.3,1.2,105.4
"Custom Region",Norway,2013,16,65591,33834,31757,1.3,1.3,1.3,106.5
"Custom Region",Norway,2013,17,66123,34091,32032,1.3,1.3,1.3,106.4
"Custom Region",Norway,2013,18,66099,34028,32071,1.3,1.3,1.3,106.1
"Custom Region",Norway,2013,19,66041,34012,32029,1.3,1.3,1.3,106.2
"Custom Region",Norway,2013,20,66979,34485,32494,1.3,1.3,1.3,106.1
"Custom Region",Norway,2013,21,68770,35434,33336,1.4,1.4,1.3,106.3
"Custom Region",Norway,2013,22,70445,36258,34187,1.4,1.4,1.4,106.1
"Custom Region",Norway,2013,23,70788,36265,34523,1.4,1.4,1.4,105.0
"Custom Region",Norway,2013,24,69893,35703,34190,1.4,1.4,1.4,104.4
"Custom Region",Norway,2013,25,68463,34810,33653,1.3,1.4,1.3,103.4
"Custom Region",Norway,2013,26,67457,34414,33043,1.3,1.3,1.3,104.1
"Custom Region",Norway,2013,27,66957,34321,32636,1.3,1.3,1.3,105.2
