" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",UnitedStates,1998,22,3525791,1800784,1725007,1.3,1.3,1.2,104.4
"Custom Region",UnitedStates,1998,23,3575395,1821418,1753977,1.3,1.3,1.2,103.8
"Custom Region",UnitedStates,1998,24,3546054,1799331,1746723,1.3,1.3,1.2,103.0
"Custom Region",UnitedStates,1998,25,3688766,1869136,1819630,1.3,1.4,1.3,102.7
"Custom Region",UnitedStates,1998,26,3837254,1934195,1903059,1.4,1.4,1.4,101.6
"Custom Region",UnitedStates,1998,27,4171533,2096125,2075408,1.5,1.6,1.5,101.0
"Custom Region",UnitedStates,1998,28,4080230,2052704,2027526,1.5,1.5,1.4,101.2
"Custom Region",UnitedStates,1998,29,4025861,2024126,2001735,1.5,1.5,1.4,101.1
"Custom Region",UnitedStates,1998,30,4068797,2053907,2014890,1.5,1.5,1.4,101.9
"Custom Region",UnitedStates,1998,31,3980432,1996379,1984053,1.4,1.5,1.4,100.6
"Custom Region",UnitedStates,1998,32,4113956,2061585,2052371,1.5,1.5,1.5,100.4
"Custom Region",UnitedStates,1998,33,4285068,2143804,2141264,1.6,1.6,1.5,100.1
"Custom Region",UnitedStates,1998,34,4504615,2258033,2246582,1.6,1.7,1.6,100.5
"Custom Region",UnitedStates,1998,35,4647434,2332072,2315362,1.7,1.7,1.6,100.7
"Custom Region",UnitedStates,1998,36,4604202,2294049,2310153,1.7,1.7,1.6,99.3
"Custom Region",UnitedStates,1998,37,4584006,2281345,2302661,1.7,1.7,1.6,99.1
"Custom Region",UnitedStates,1998,38,4524490,2252385,2272105,1.6,1.7,1.6,99.1
"Custom Region",UnitedStates,1998,39,4566065,2266938,2299127,1.7,1.7,1.6,98.6
"Custom Region",UnitedStates,1998,40,4656534,2320302,2336232,1.7,1.7,1.7,99.3
"Custom Region",UnitedStates,1998,41,4442810,2201180,2241630,1.6,1.6,1.6,98.2
"Custom Region",UnitedStates,1998,42,4324057,2138872,2185185,1.6,1.6,1.6,97.9
"Custom Region",UnitedStates,1998,43,4246602,2094862,2151740,1.5,1.6,1.5,97.4
"Custom Region",UnitedStates,1998,44,4152154,2049575,2102579,1.5,1.5,1.5,97.5
"Custom Region",UnitedStates,1998,45,4108351,2029255,2079096,1.5,1.5,1.5,97.6
"Custom Region",UnitedStates,1998,46,3901324,1917073,1984251,1.4,1.4,1.4,96.6
"Custom Region",UnitedStates,1998,47,3759423,1844735,1914688,1.4,1.4,1.4,96.3
"Custom Region",UnitedStates,1998,48,3656981,1795548,1861433,1.3,1.3,1.3,96.5
"Custom Region",UnitedStates,1998,49,3688084,1807376,1880708,1.3,1.3,1.3,96.1
"Custom Region",UnitedStates,1998,50,3734825,1833763,1901062,1.4,1.4,1.4,96.5
"Custom Region",UnitedStates,1998,51,3846086,1886389,1959697,1.4,1.4,1.4,96.3
"Custom Region",UnitedStates,1998,52,2806994,1369303,1437691,1.0,1.0,1.0,95.2
"Custom Region",UnitedStates,1998,53,2840605,1382213,1458392,1.0,1.0,1.0,94.8
"Custom Region",UnitedStates,1998,54,2889184,1407511,1481673,1.0,1.0,1.1,95.0
"Custom Region",UnitedStates,1998,55,2989898,1455145,1534753,1.1,1.1,1.1,94.8
"Custom Region",UnitedStates,1998,56,2570360,1242561,1327799,0.9,0.9,0.9,93.6
"Custom Region",UnitedStates,1998,57,2436220,1172595,1263625,0.9,0.9,0.9,92.8
"Custom Region",UnitedStates,1998,58,2305054,1108639,1196415,0.8,0.8,0.9,92.7
"Custom Region",UnitedStates,1998,59,2287915,1097032,1190883,0.8,0.8,0.8,92.1
"Custom Region",UnitedStates,1998,60,2265724,1082563,1183161,0.8,0.8,0.8,91.5
"Custom Region",UnitedStates,1998,61,2068224,985731,1082493,0.7,0.7,0.8,91.1
"Custom Region",UnitedStates,1998,62,2060484,977610,1082874,0.7,0.7,0.8,90.3
"Custom Region",UnitedStates,1998,63,2082928,985909,1097019,0.8,0.7,0.8,89.9
"Custom Region",UnitedStates,1998,64,1944148,913323,1030825,0.7,0.7,0.7,88.6
"Custom Region",UnitedStates,1998,65,1925215,895889,1029326,0.7,0.7,0.7,87.0
"Custom Region",UnitedStates,1998,66,1921704,885610,1036094,0.7,0.7,0.7,85.5
"Custom Region",UnitedStates,1998,67,2006968,921882,1085086,0.7,0.7,0.8,85.0
"Custom Region",UnitedStates,1998,68,1934359,890447,1043912,0.7,0.7,0.7,85.3
"Custom Region",UnitedStates,1998,69,1889019,855123,1033896,0.7,0.6,0.7,82.7
"Custom Region",UnitedStates,1998,70,1919463,853803,1065660,0.7,0.6,0.8,80.1
"Custom Region",UnitedStates,1998,71,1797080,793951,1003129,0.7,0.6,0.7,79.1
"Custom Region",UnitedStates,1998,72,1738304,757791,980513,0.6,0.6,0.7,77.3
"Custom Region",UnitedStates,1998,73,1745311,756653,988658,0.6,0.6,0.7,76.5
"Custom Region",UnitedStates,1998,74,1692824,722142,970682,0.6,0.5,0.7,74.4
"Custom Region",UnitedStates,1998,75,1610422,676329,934093,0.6,0.5,0.7,72.4
"Custom Region",UnitedStates,1998,76,1577276,656059,921217,0.6,0.5,0.7,71.2
"Custom Region",UnitedStates,1998,77,1481717,610071,871646,0.5,0.5,0.6,70.0
"Custom Region",UnitedStates,1998,78,1330641,533930,796711,0.5,0.4,0.6,67.0
"Custom Region",UnitedStates,1998,79,1228062,480544,747518,0.4,0.4,0.5,64.3
"Custom Region",UnitedStates,1998,80,1150320,438881,711439,0.4,0.3,0.5,61.7
"Custom Region",UnitedStates,1998,81,1029841,387044,642797,0.4,0.3,0.5,60.2
"Custom Region",UnitedStates,1998,82,960538,354567,605971,0.3,0.3,0.4,58.5
"Custom Region",UnitedStates,1998,83,871471,307701,563770,0.3,0.2,0.4,54.6
"Custom Region",UnitedStates,1998,84,776089,265085,511004,0.3,0.2,0.4,51.9
"Custom Region",UnitedStates,1998,85-89,2642194,815969,1826225,1.0,0.6,1.3,44.7
"Custom Region",UnitedStates,1998,90-94,1073692,267994,805698,0.4,0.2,0.6,33.3
"Custom Region",UnitedStates,1998,95-99,269052,53781,215271,0.1,0.0,0.2,25.0
"Custom Region",UnitedStates,1998,100+,47597,9081,38516,0.0,0.0,0.0,23.6
