" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",India,2011,Total,1189172906,617039156,572133750,100.0,100.0,100.0,107.8
"Custom Region",India,2011,0,24026645,12700958,11325687,2.0,2.1,2.0,112.1
"Custom Region",India,2011,1,23735971,12571759,11164212,2.0,2.0,2.0,112.6
"Custom Region",India,2011,2,23605117,12523303,11081814,2.0,2.0,1.9,113.0
"Custom Region",India,2011,3,23519647,12489333,11030314,2.0,2.0,1.9,113.2
"Custom Region",India,2011,4,23437966,12454878,10983088,2.0,2.0,1.9,113.4
"Custom Region",India,2011,5,23434745,12460259,10974486,2.0,2.0,1.9,113.5
"Custom Region",India,2011,6,23503752,12500302,11003450,2.0,2.0,1.9,113.6
"Custom Region",India,2011,7,23548408,12524779,11023629,2.0,2.0,1.9,113.6
"Custom Region",India,2011,8,23560774,12531405,11029369,2.0,2.0,1.9,113.6
"Custom Region",India,2011,9,23544573,12522824,11021749,2.0,2.0,1.9,113.6
"Custom Region",India,2011,10,23516083,12507797,11008286,2.0,2.0,1.9,113.6
"Custom Region",India,2011,11,23478238,12486339,10991899,2.0,2.0,1.9,113.6
"Custom Region",India,2011,12,23414505,12449415,10965090,2.0,2.0,1.9,113.5
"Custom Region",India,2011,13,23328600,12398108,10930492,2.0,2.0,1.9,113.4
"Custom Region",India,2011,14,23211369,12329176,10882193,2.0,2.0,1.9,113.3
"Custom Region",India,2011,15,23024910,12222984,10801926,1.9,2.0,1.9,113.2
"Custom Region",India,2011,16,22769000,12079145,10689855,1.9,2.0,1.9,113.0
"Custom Region",India,2011,17,22480810,11917818,10562992,1.9,1.9,1.8,112.8
"Custom Region",India,2011,18,22161422,11740090,10421332,1.9,1.9,1.8,112.7
"Custom Region",India,2011,19,21811612,11547325,10264287,1.8,1.9,1.8,112.5
"Custom Region",India,2011,20,21461139,11316908,10144231,1.8,1.8,1.8,111.6
