" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Canada,2012,Total,34300083,17019048,17281035,100.0,100.0,100.0,98.5
"Custom Region",Canada,2012,0,350824,180081,170743,1.0,1.1,1.0,105.5
"Custom Region",Canada,2012,1,350152,179578,170574,1.0,1.1,1.0,105.3
"Custom Region",Canada,2012,2,349686,179185,170501,1.0,1.1,1.0,105.1
"Custom Region",Canada,2012,3,349331,178848,170483,1.0,1.1,1.0,104.9
"Custom Region",Canada,2012,4,349214,178639,170575,1.0,1.0,1.0,104.7
"Custom Region",Canada,2012,5,349770,178898,170872,1.0,1.1,1.0,104.7
"Custom Region",Canada,2012,6,351343,179800,171543,1.0,1.1,1.0,104.8
"Custom Region",Canada,2012,7,353664,181106,172558,1.0,1.1,1.0,105.0
"Custom Region",Canada,2012,8,355217,181762,173455,1.0,1.1,1.0,104.8
"Custom Region",Canada,2012,9,353540,180975,172565,1.0,1.1,1.0,104.9
"Custom Region",Canada,2012,10,355981,182471,173510,1.0,1.1,1.0,105.2
"Custom Region",Canada,2012,11,359548,184479,175069,1.0,1.1,1.0,105.4
"Custom Region",Canada,2012,12,365627,187867,177760,1.1,1.1,1.0,105.7
"Custom Region",Canada,2012,13,376737,193673,183064,1.1,1.1,1.1,105.8
"Custom Region",Canada,2012,14,374951,192878,182073,1.1,1.1,1.1,105.9
"Custom Region",Canada,2012,15,395345,203294,192051,1.2,1.2,1.1,105.9
"Custom Region",Canada,2012,16,425000,218308,206692,1.2,1.3,1.2,105.6
"Custom Region",Canada,2012,17,434373,223330,211043,1.3,1.3,1.2,105.8
"Custom Region",Canada,2012,18,444277,228630,215647,1.3,1.3,1.2,106.0
"Custom Region",Canada,2012,19,455795,234008,221787,1.3,1.4,1.3,105.5
"Custom Region",Canada,2012,20,471256,241673,229583,1.4,1.4,1.3,105.3
"Custom Region",Canada,2012,21,471573,242427,229146,1.4,1.4,1.3,105.8
"Custom Region",Canada,2012,22,473307,243188,230119,1.4,1.4,1.3,105.7
"Custom Region",Canada,2012,23,457087,235164,221923,1.3,1.4,1.3,106.0
"Custom Region",Canada,2012,24,448103,230602,217501,1.3,1.4,1.3,106.0
"Custom Region",Canada,2012,25,453702,233332,220370,1.3,1.4,1.3,105.9
"Custom Region",Canada,2012,26,462884,237537,225347,1.3,1.4,1.3,105.4
"Custom Region",Canada,2012,27,465098,238379,226719,1.4,1.4,1.3,105.1
"Custom Region",Canada,2012,28,463320,236916,226404,1.4,1.4,1.3,104.6
"Custom Region",Canada,2012,29,462011,235780,226231,1.3,1.4,1.3,104.2
"Custom Region",Canada,2012,30,462861,236114,226747,1.3,1.4,1.3,104.1
"Custom Region",Canada,2012,31,462059,235445,226614,1.3,1.4,1.3,103.9
"Custom Region",Canada,2012,32,457508,233884,223624,1.3,1.4,1.3,104.6
"Custom Region",Canada,2012,33,447911,229024,218887,1.3,1.3,1.3,104.6
"Custom Region",Canada,2012,34,442000,225947,216053,1.3,1.3,1.3,104.6
"Custom Region",Canada,2012,35,443192,225687,217505,1.3,1.3,1.3,103.8
"Custom Region",Canada,2012,36,445922,227247,218675,1.3,1.3,1.3,103.9
"Custom Region",Canada,2012,37,444400,226378,218022,1.3,1.3,1.3,103.8
"Custom Region",Canada,2012,38,431538,219064,212474,1.3,1.3,1.2,103.1
"Custom Region",Canada,2012,39,434445,220668,213777,1.3,1.3,1.2,103.2
"Custom Region",Canada,2012,40,441307,223816,217491,1.3,1.3,1.3,102.9
"Custom Region",Canada,2012,41,459306,231506,227800,1.3,1.4,1.3,101.6
"Custom Region",Canada,2012,42,462252,232812,229440,1.3,1.4,1.3,101.5
"Custom Region",Canada,2012,43,459332,230098,229234,1.3,1.4,1.3,100.4
"Custom Region",Canada,2012,44,461469,230405,231064,1.3,1.4,1.3,99.7
"Custom Region",Canada,2012,45,472641,235540,237101,1.4,1.4,1.4,99.3
"Custom Region",Canada,2012,46,496781,248394,248387,1.4,1.5,1.4,100.0
"Custom Region",Canada,2012,47,531265,266465,264800,1.5,1.6,1.5,100.6
"Custom Region",Canada,2012,48,546135,275006,271129,1.6,1.6,1.6,101.4
"Custom Region",Canada,2012,49,553356,278818,274538,1.6,1.6,1.6,101.6
"Custom Region",Canada,2012,50,546332,275621,270711,1.6,1.6,1.6,101.8
"Custom Region",Canada,2012,51,550328,277283,273045,1.6,1.6,1.6,101.6
"Custom Region",Canada,2012,52,541765,272291,269474,1.6,1.6,1.6,101.0
"Custom Region",Canada,2012,53,529763,265628,264135,1.5,1.6,1.5,100.6
"Custom Region",Canada,2012,54,523686,262267,261419,1.5,1.5,1.5,100.3
"Custom Region",Canada,2012,55,512609,255296,257313,1.5,1.5,1.5,99.2
"Custom Region",Canada,2012,56,492665,244859,247806,1.4,1.4,1.4,98.8
"Custom Region",Canada,2012,57,488421,241953,246468,1.4,1.4,1.4,98.2
"Custom Region",Canada,2012,58,471462,232656,238806,1.4,1.4,1.4,97.4
"Custom Region",Canada,2012,59,451888,222644,229244,1.3,1.3,1.3,97.1
"Custom Region",Canada,2012,60,437497,216529,220968,1.3,1.3,1.3,98.0
"Custom Region",Canada,2012,61,428786,212232,216554,1.3,1.2,1.3,98.0
"Custom Region",Canada,2012,62,418265,207458,210807,1.2,1.2,1.2,98.4
"Custom Region",Canada,2012,63,409240,202213,207027,1.2,1.2,1.2,97.7
"Custom Region",Canada,2012,64,403848,200150,203698,1.2,1.2,1.2,98.3
"Custom Region",Canada,2012,65,401572,198230,203342,1.2,1.2,1.2,97.5
"Custom Region",Canada,2012,66,349269,171950,177319,1.0,1.0,1.0,97.0
"Custom Region",Canada,2012,67,324942,159118,165824,0.9,0.9,1.0,96.0
"Custom Region",Canada,2012,68,313593,152162,161431,0.9,0.9,0.9,94.3
"Custom Region",Canada,2012,69,302193,145660,156533,0.9,0.9,0.9,93.1
"Custom Region",Canada,2012,70,280297,133746,146551,0.8,0.8,0.8,91.3
"Custom Region",Canada,2012,71,267505,126143,141362,0.8,0.7,0.8,89.2
"Custom Region",Canada,2012,72,250480,117185,133295,0.7,0.7,0.8,87.9
"Custom Region",Canada,2012,73,240940,111549,129391,0.7,0.7,0.7,86.2
"Custom Region",Canada,2012,74,229394,105251,124143,0.7,0.6,0.7,84.8
"Custom Region",Canada,2012,75,218505,98935,119570,0.6,0.6,0.7,82.7
"Custom Region",Canada,2012,76,213243,95617,117626,0.6,0.6,0.7,81.3
"Custom Region",Canada,2012,77,202731,89795,112936,0.6,0.5,0.7,79.5
"Custom Region",Canada,2012,78,191854,84164,107690,0.6,0.5,0.6,78.2
"Custom Region",Canada,2012,79,187587,80940,106647,0.5,0.5,0.6,75.9
"Custom Region",Canada,2012,80,180448,76877,103571,0.5,0.5,0.6,74.2
"Custom Region",Canada,2012,81,171679,71556,100123,0.5,0.4,0.6,71.5
"Custom Region",Canada,2012,82,160593,65724,94869,0.5,0.4,0.5,69.3
"Custom Region",Canada,2012,83,147139,58627,88512,0.4,0.3,0.5,66.2
"Custom Region",Canada,2012,84,138374,53735,84639,0.4,0.3,0.5,63.5
"Custom Region",Canada,2012,85-89,497771,178157,319614,1.5,1.0,1.8,55.7
"Custom Region",Canada,2012,90-94,237149,74067,163082,0.7,0.4,0.9,45.4
"Custom Region",Canada,2012,95-99,81861,21686,60175,0.2,0.1,0.3,36.0
"Custom Region",Canada,2012,100+,20013,3968,16045,0.1,0.0,0.1,24.7
