" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",China,1991,Total,1168317741,601212145,567105596,100.0,100.0,100.0,106.0
"Custom Region",China,1991,0,22602833,11849303,10753530,1.9,2.0,1.9,110.2
"Custom Region",China,1991,1,30366152,15473613,14892539,2.6,2.6,2.6,103.9
"Custom Region",China,1991,2,26654766,13395243,13259523,2.3,2.2,2.3,101.0
"Custom Region",China,1991,3,25074204,13018518,12055686,2.1,2.2,2.1,108.0
"Custom Region",China,1991,4,26499691,13722136,12777555,2.3,2.3,2.3,107.4
"Custom Region",China,1991,5,22355144,11588934,10766210,1.9,1.9,1.9,107.6
"Custom Region",China,1991,6,20080693,10430432,9650261,1.7,1.7,1.7,108.1
"Custom Region",China,1991,7,20131358,10388031,9743327,1.7,1.7,1.7,106.6
"Custom Region",China,1991,8,20649437,10604412,10045025,1.8,1.8,1.8,105.6
"Custom Region",China,1991,9,24410257,12653979,11756278,2.1,2.1,2.1,107.6
"Custom Region",China,1991,10,18470140,9614977,8855163,1.6,1.6,1.6,108.6
"Custom Region",China,1991,11,19214555,9950630,9263925,1.6,1.7,1.6,107.4
"Custom Region",China,1991,12,19300381,9968778,9331603,1.7,1.7,1.6,106.8
"Custom Region",China,1991,13,18854610,9721388,9133222,1.6,1.6,1.6,106.4
"Custom Region",China,1991,14,19355878,9981467,9374411,1.7,1.7,1.7,106.5
"Custom Region",China,1991,15,20443291,10527387,9915904,1.7,1.8,1.7,106.2
"Custom Region",China,1991,16,21620051,11109388,10510663,1.9,1.8,1.9,105.7
"Custom Region",China,1991,17,23459547,12027344,11432203,2.0,2.0,2.0,105.2
"Custom Region",China,1991,18,24531656,12588680,11942976,2.1,2.1,2.1,105.4
"Custom Region",China,1991,19,24730980,12812407,11918573,2.1,2.1,2.1,107.5
"Custom Region",China,1991,20,26374004,13724355,12649649,2.3,2.3,2.2,108.5
"Custom Region",China,1991,21,26433711,13601617,12832094,2.3,2.3,2.3,106.0
"Custom Region",China,1991,22,27515115,14194214,13320901,2.4,2.4,2.3,106.6
"Custom Region",China,1991,23,24843701,12890962,11952739,2.1,2.1,2.1,107.8
"Custom Region",China,1991,24,23049474,11929408,11120066,2.0,2.0,2.0,107.3
