" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Canada,2013,Total,34568211,17151406,17416805,100.0,100.0,100.0,98.5
"Custom Region",Canada,2013,0,353747,181582,172165,1.0,1.1,1.0,105.5
"Custom Region",Canada,2013,1,353094,181088,172006,1.0,1.1,1.0,105.3
"Custom Region",Canada,2013,2,352493,180621,171872,1.0,1.1,1.0,105.1
"Custom Region",Canada,2013,3,352058,180243,171815,1.0,1.1,1.0,104.9
"Custom Region",Canada,2013,4,351715,179913,171802,1.0,1.0,1.0,104.7
"Custom Region",Canada,2013,5,351970,180017,171953,1.0,1.0,1.0,104.7
"Custom Region",Canada,2013,6,352891,180585,172306,1.0,1.1,1.0,104.8
"Custom Region",Canada,2013,7,354467,181488,172979,1.0,1.1,1.0,104.9
"Custom Region",Canada,2013,8,356788,182795,173993,1.0,1.1,1.0,105.1
"Custom Region",Canada,2013,9,358344,183453,174891,1.0,1.1,1.0,104.9
"Custom Region",Canada,2013,10,357365,183065,174300,1.0,1.1,1.0,105.0
"Custom Region",Canada,2013,11,360499,184958,175541,1.0,1.1,1.0,105.4
"Custom Region",Canada,2013,12,364063,186964,177099,1.1,1.1,1.0,105.6
"Custom Region",Canada,2013,13,370136,190347,179789,1.1,1.1,1.0,105.9
"Custom Region",Canada,2013,14,381233,196144,185089,1.1,1.1,1.1,106.0
"Custom Region",Canada,2013,15,379959,195519,184440,1.1,1.1,1.1,106.0
"Custom Region",Canada,2013,16,400845,206091,194754,1.2,1.2,1.1,105.8
"Custom Region",Canada,2013,17,430455,221070,209385,1.2,1.3,1.2,105.6
"Custom Region",Canada,2013,18,439794,226064,213730,1.3,1.3,1.2,105.8
"Custom Region",Canada,2013,19,449675,231344,218331,1.3,1.3,1.3,106.0
"Custom Region",Canada,2013,20,459916,236183,223733,1.3,1.4,1.3,105.6
"Custom Region",Canada,2013,21,474111,243314,230797,1.4,1.4,1.3,105.4
"Custom Region",Canada,2013,22,474423,244061,230362,1.4,1.4,1.3,105.9
