" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",China,2013,Total,1355286257,697537259,657748998,100.0,100.0,100.0,106.0
"Custom Region",China,2013,0,16161192,8688187,7473005,1.2,1.2,1.1,116.3
"Custom Region",China,2013,1,15954198,8600720,7353478,1.2,1.2,1.1,117.0
"Custom Region",China,2013,2,15723864,8500275,7223589,1.2,1.2,1.1,117.7
"Custom Region",China,2013,3,15642278,8467673,7174605,1.2,1.2,1.1,118.0
"Custom Region",China,2013,4,15696759,8497241,7199518,1.2,1.2,1.1,118.0
"Custom Region",China,2013,5,15685550,8491137,7194413,1.2,1.2,1.1,118.0
"Custom Region",China,2013,6,15545654,8415202,7130452,1.1,1.2,1.1,118.0
"Custom Region",China,2013,7,15322594,8294606,7027988,1.1,1.2,1.1,118.0
"Custom Region",China,2013,8,15003713,8122394,6881319,1.1,1.2,1.0,118.0
"Custom Region",China,2013,9,14782060,8003132,6778928,1.1,1.1,1.0,118.1
"Custom Region",China,2013,10,14791447,8009730,6781717,1.1,1.1,1.0,118.1
"Custom Region",China,2013,11,15020023,8135896,6884127,1.1,1.2,1.0,118.2
"Custom Region",China,2013,12,15412320,8352068,7060252,1.1,1.2,1.1,118.3
"Custom Region",China,2013,13,15938464,8625800,7312664,1.2,1.2,1.1,118.0
"Custom Region",China,2013,14,16595065,8951655,7643410,1.2,1.3,1.2,117.1
"Custom Region",China,2013,15,17285347,9290538,7994809,1.3,1.3,1.2,116.2
"Custom Region",China,2013,16,17958300,9615723,8342577,1.3,1.4,1.3,115.3
"Custom Region",China,2013,17,19029598,10148737,8880861,1.4,1.5,1.4,114.3
"Custom Region",China,2013,18,19914999,10578474,9336525,1.5,1.5,1.4,113.3
"Custom Region",China,2013,19,20203167,10687900,9515267,1.5,1.5,1.4,112.3
"Custom Region",China,2013,20,20224761,10655029,9569732,1.5,1.5,1.5,111.3
"Custom Region",China,2013,21,20757693,10888035,9869658,1.5,1.6,1.5,110.3
"Custom Region",China,2013,22,21838010,11415175,10422835,1.6,1.6,1.6,109.5
"Custom Region",China,2013,23,29603511,15013365,14590146,2.2,2.2,2.2,102.9
"Custom Region",China,2013,24,25995003,12984812,13010191,1.9,1.9,2.0,99.8
"Custom Region",China,2013,25,24440160,12609213,11830947,1.8,1.8,1.8,106.6
"Custom Region",China,2013,26,25839509,13290500,12549009,1.9,1.9,1.9,105.9
"Custom Region",China,2013,27,21749865,11188749,10561116,1.6,1.6,1.6,105.9
"Custom Region",China,2013,28,19494815,10040788,9454027,1.4,1.4,1.4,106.2
"Custom Region",China,2013,29,19525637,9985240,9540397,1.4,1.4,1.5,104.7
"Custom Region",China,2013,30,20019079,10185371,9833708,1.5,1.5,1.5,103.6
"Custom Region",China,2013,31,23698173,12178892,11519281,1.7,1.7,1.8,105.7
"Custom Region",China,2013,32,17848021,9199167,8648854,1.3,1.3,1.3,106.4
"Custom Region",China,2013,33,18559965,9515095,9044870,1.4,1.4,1.4,105.2
"Custom Region",China,2013,34,18623563,9520328,9103235,1.4,1.4,1.4,104.6
"Custom Region",China,2013,35,18167365,9267863,8899502,1.3,1.3,1.4,104.1
"Custom Region",China,2013,36,18637258,9509183,9128075,1.4,1.4,1.4,104.2
"Custom Region",China,2013,37,19680533,10028905,9651628,1.5,1.4,1.5,103.9
"Custom Region",China,2013,38,20811174,10584049,10227125,1.5,1.5,1.6,103.5
"Custom Region",China,2013,39,22582964,11461459,11121505,1.7,1.6,1.7,103.1
"Custom Region",China,2013,40,23606139,11992878,11613261,1.7,1.7,1.8,103.3
"Custom Region",China,2013,41,23779670,12197673,11581997,1.8,1.7,1.8,105.3
"Custom Region",China,2013,42,25351000,13062353,12288647,1.9,1.9,1.9,106.3
"Custom Region",China,2013,43,25389594,12930421,12459173,1.9,1.9,1.9,103.8
"Custom Region",China,2013,44,26407801,13480681,12927120,1.9,1.9,2.0,104.3
"Custom Region",China,2013,45,23801181,12215031,11586150,1.8,1.8,1.8,105.4
"Custom Region",China,2013,46,22043759,11276907,10766852,1.6,1.6,1.6,104.7
"Custom Region",China,2013,47,24112479,12273378,11839101,1.8,1.8,1.8,103.7
"Custom Region",China,2013,48,23415196,11906282,11508914,1.7,1.7,1.7,103.5
"Custom Region",China,2013,49,24085588,12209295,11876293,1.8,1.8,1.8,102.8
"Custom Region",China,2013,50,25659033,13103320,12555713,1.9,1.9,1.9,104.4
"Custom Region",China,2013,51,15064760,7608703,7456057,1.1,1.1,1.1,102.0
"Custom Region",China,2013,52,10839922,5440685,5399237,0.8,0.8,0.8,100.8
"Custom Region",China,2013,53,13543777,6951748,6592029,1.0,1.0,1.0,105.5
"Custom Region",China,2013,54,13410252,6918404,6491848,1.0,1.0,1.0,106.6
"Custom Region",China,2013,55,17691473,9133721,8557752,1.3,1.3,1.3,106.7
"Custom Region",China,2013,56,16941176,8638943,8302233,1.3,1.2,1.3,104.1
"Custom Region",China,2013,57,16193549,8205482,7988067,1.2,1.2,1.2,102.7
"Custom Region",China,2013,58,17665017,8976094,8688923,1.3,1.3,1.3,103.3
"Custom Region",China,2013,59,16579653,8358567,8221086,1.2,1.2,1.2,101.7
"Custom Region",China,2013,60,15445586,7762613,7682973,1.1,1.1,1.2,101.0
"Custom Region",China,2013,61,14990428,7525908,7464520,1.1,1.1,1.1,100.8
"Custom Region",China,2013,62,12755794,6391626,6364168,0.9,0.9,1.0,100.4
"Custom Region",China,2013,63,13289120,6758134,6530986,1.0,1.0,1.0,103.5
"Custom Region",China,2013,64,11110745,5622814,5487931,0.8,0.8,0.8,102.5
"Custom Region",China,2013,65,10416327,5268072,5148255,0.8,0.8,0.8,102.3
"Custom Region",China,2013,66,9873582,4978889,4894693,0.7,0.7,0.7,101.7
"Custom Region",China,2013,67,8927530,4450046,4477484,0.7,0.6,0.7,99.4
"Custom Region",China,2013,68,8301687,4152743,4148944,0.6,0.6,0.6,100.1
"Custom Region",China,2013,69,7706268,3866372,3839896,0.6,0.6,0.6,100.7
"Custom Region",China,2013,70,7121306,3555383,3565923,0.5,0.5,0.5,99.7
"Custom Region",China,2013,71,7077548,3503604,3573944,0.5,0.5,0.5,98.0
"Custom Region",China,2013,72,6760367,3342027,3418340,0.5,0.5,0.5,97.8
"Custom Region",China,2013,73,6307409,3085546,3221863,0.5,0.4,0.5,95.8
"Custom Region",China,2013,74,5848904,2855387,2993517,0.4,0.4,0.5,95.4
"Custom Region",China,2013,75,5763717,2807544,2956173,0.4,0.4,0.4,95.0
"Custom Region",China,2013,76,5400292,2587022,2813270,0.4,0.4,0.4,92.0
"Custom Region",China,2013,77,5108343,2400866,2707477,0.4,0.3,0.4,88.7
"Custom Region",China,2013,78,4646658,2146836,2499822,0.3,0.3,0.4,85.9
"Custom Region",China,2013,79,4329079,1998623,2330456,0.3,0.3,0.4,85.8
"Custom Region",China,2013,80,3919730,1790174,2129556,0.3,0.3,0.3,84.1
"Custom Region",China,2013,81,3268197,1468558,1799639,0.2,0.2,0.3,81.6
"Custom Region",China,2013,82,2882321,1283099,1599222,0.2,0.2,0.2,80.2
"Custom Region",China,2013,83,2625163,1138455,1486708,0.2,0.2,0.2,76.6
"Custom Region",China,2013,84,2105304,888168,1217136,0.2,0.1,0.2,73.0
"Custom Region",China,2013,85-89,6189623,2451143,3738480,0.5,0.4,0.6,65.6
"Custom Region",China,2013,90-94,1552388,519613,1032775,0.1,0.1,0.2,50.3
"Custom Region",China,2013,95-99,205200,56246,148954,0.0,0.0,0.0,37.8
"Custom Region",China,2013,100+,12971,2876,10095,0.0,0.0,0.0,28.5
