" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Norway,2010,Total,4891300,2444491,2446809,100.0,100.0,100.0,99.9
"Custom Region",Norway,2010,0,61787,31712,30075,1.3,1.3,1.2,105.4
"Custom Region",Norway,2010,1,61948,31852,30096,1.3,1.3,1.2,105.8
"Custom Region",Norway,2010,2,61033,31356,29677,1.2,1.3,1.2,105.7
"Custom Region",Norway,2010,3,60768,31204,29564,1.2,1.3,1.2,105.5
"Custom Region",Norway,2010,4,60376,30984,29392,1.2,1.3,1.2,105.4
"Custom Region",Norway,2010,5,59800,30697,29103,1.2,1.3,1.2,105.5
"Custom Region",Norway,2010,6,59641,30660,28981,1.2,1.3,1.2,105.8
"Custom Region",Norway,2010,7,58818,30165,28653,1.2,1.2,1.2,105.3
"Custom Region",Norway,2010,8,59029,30175,28854,1.2,1.2,1.2,104.6
"Custom Region",Norway,2010,9,60922,31199,29723,1.2,1.3,1.2,105.0
"Custom Region",Norway,2010,10,62331,31839,30492,1.3,1.3,1.2,104.4
"Custom Region",Norway,2010,11,62271,31767,30504,1.3,1.3,1.2,104.1
"Custom Region",Norway,2010,12,62724,32165,30559,1.3,1.3,1.2,105.3
"Custom Region",Norway,2010,13,64168,33086,31082,1.3,1.4,1.3,106.4
"Custom Region",Norway,2010,14,64534,33268,31266,1.3,1.4,1.3,106.4
"Custom Region",Norway,2010,15,64388,33124,31264,1.3,1.4,1.3,105.9
"Custom Region",Norway,2010,16,64352,33123,31229,1.3,1.4,1.3,106.1
"Custom Region",Norway,2010,17,64888,33415,31473,1.3,1.4,1.3,106.2
"Custom Region",Norway,2010,18,65797,33959,31838,1.3,1.4,1.3,106.7
"Custom Region",Norway,2010,19,66363,34217,32146,1.4,1.4,1.3,106.4
"Custom Region",Norway,2010,20,66249,34054,32195,1.4,1.4,1.3,105.8
"Custom Region",Norway,2010,21,65347,33483,31864,1.3,1.4,1.3,105.1
"Custom Region",Norway,2010,22,63583,32368,31215,1.3,1.3,1.3,103.7
"Custom Region",Norway,2010,23,61863,31499,30364,1.3,1.3,1.2,103.7
"Custom Region",Norway,2010,24,60923,31082,29841,1.2,1.3,1.2,104.2
"Custom Region",Norway,2010,25,60246,30656,29590,1.2,1.3,1.2,103.6
"Custom Region",Norway,2010,26,60279,30726,29553,1.2,1.3,1.2,104.0
"Custom Region",Norway,2010,27,61291,31345,29946,1.3,1.3,1.2,104.7
"Custom Region",Norway,2010,28,62209,31648,30561,1.3,1.3,1.2,103.6
"Custom Region",Norway,2010,29,62377,31752,30625,1.3,1.3,1.3,103.7
"Custom Region",Norway,2010,30,62512,31956,30556,1.3,1.3,1.2,104.6
"Custom Region",Norway,2010,31,62312,31904,30408,1.3,1.3,1.2,104.9
"Custom Region",Norway,2010,32,61551,31512,30039,1.3,1.3,1.2,104.9
"Custom Region",Norway,2010,33,62134,31743,30391,1.3,1.3,1.2,104.4
"Custom Region",Norway,2010,34,64534,32923,31611,1.3,1.3,1.3,104.2
"Custom Region",Norway,2010,35,67224,34135,33089,1.4,1.4,1.4,103.2
"Custom Region",Norway,2010,36,69327,35255,34072,1.4,1.4,1.4,103.5
"Custom Region",Norway,2010,37,71152,36275,34877,1.5,1.5,1.4,104.0
"Custom Region",Norway,2010,38,72614,36893,35721,1.5,1.5,1.5,103.3
"Custom Region",Norway,2010,39,72647,36906,35741,1.5,1.5,1.5,103.3
"Custom Region",Norway,2010,40,73464,37408,36056,1.5,1.5,1.5,103.7
"Custom Region",Norway,2010,41,74460,37995,36465,1.5,1.6,1.5,104.2
"Custom Region",Norway,2010,42,73228,37347,35881,1.5,1.5,1.5,104.1
"Custom Region",Norway,2010,43,72336,36989,35347,1.5,1.5,1.4,104.6
"Custom Region",Norway,2010,44,71991,37018,34973,1.5,1.5,1.4,105.8
"Custom Region",Norway,2010,45,71013,36533,34480,1.5,1.5,1.4,106.0
"Custom Region",Norway,2010,46,69248,35461,33787,1.4,1.5,1.4,105.0
"Custom Region",Norway,2010,47,67036,34255,32781,1.4,1.4,1.3,104.5
"Custom Region",Norway,2010,48,65874,33719,32155,1.3,1.4,1.3,104.9
"Custom Region",Norway,2010,49,65053,33188,31865,1.3,1.4,1.3,104.2
"Custom Region",Norway,2010,50,64921,33161,31760,1.3,1.4,1.3,104.4
"Custom Region",Norway,2010,51,64676,32983,31693,1.3,1.3,1.3,104.1
"Custom Region",Norway,2010,52,63859,32460,31399,1.3,1.3,1.3,103.4
"Custom Region",Norway,2010,53,63526,32168,31358,1.3,1.3,1.3,102.6
"Custom Region",Norway,2010,54,63311,32081,31230,1.3,1.3,1.3,102.7
"Custom Region",Norway,2010,55,61891,31342,30549,1.3,1.3,1.2,102.6
"Custom Region",Norway,2010,56,60933,30750,30183,1.2,1.3,1.2,101.9
"Custom Region",Norway,2010,57,60131,30420,29711,1.2,1.2,1.2,102.4
"Custom Region",Norway,2010,58,58291,29677,28614,1.2,1.2,1.2,103.7
"Custom Region",Norway,2010,59,57433,29265,28168,1.2,1.2,1.2,103.9
"Custom Region",Norway,2010,60,57919,29372,28547,1.2,1.2,1.2,102.9
"Custom Region",Norway,2010,61,58339,29644,28695,1.2,1.2,1.2,103.3
"Custom Region",Norway,2010,62,59200,29937,29263,1.2,1.2,1.2,102.3
"Custom Region",Norway,2010,63,60628,30522,30106,1.2,1.2,1.2,101.4
"Custom Region",Norway,2010,64,58076,29115,28961,1.2,1.2,1.2,100.5
"Custom Region",Norway,2010,65,53422,26755,26667,1.1,1.1,1.1,100.3
"Custom Region",Norway,2010,66,48991,24426,24565,1.0,1.0,1.0,99.4
"Custom Region",Norway,2010,67,43839,21657,22182,0.9,0.9,0.9,97.6
"Custom Region",Norway,2010,68,38955,19021,19934,0.8,0.8,0.8,95.4
"Custom Region",Norway,2010,69,36523,17752,18771,0.7,0.7,0.8,94.6
"Custom Region",Norway,2010,70,36134,17405,18729,0.7,0.7,0.8,92.9
"Custom Region",Norway,2010,71,34303,16283,18020,0.7,0.7,0.7,90.4
"Custom Region",Norway,2010,72,32293,15160,17133,0.7,0.6,0.7,88.5
"Custom Region",Norway,2010,73,30374,14147,16227,0.6,0.6,0.7,87.2
"Custom Region",Norway,2010,74,28713,13190,15523,0.6,0.5,0.6,85.0
"Custom Region",Norway,2010,75,27389,12382,15007,0.6,0.5,0.6,82.5
"Custom Region",Norway,2010,76,26604,12064,14540,0.5,0.5,0.6,83.0
"Custom Region",Norway,2010,77,26606,11833,14773,0.5,0.5,0.6,80.1
"Custom Region",Norway,2010,78,26556,11642,14914,0.5,0.5,0.6,78.1
"Custom Region",Norway,2010,79,25695,11044,14651,0.5,0.5,0.6,75.4
"Custom Region",Norway,2010,80,24617,10482,14135,0.5,0.4,0.6,74.2
"Custom Region",Norway,2010,81,23002,9502,13500,0.5,0.4,0.6,70.4
"Custom Region",Norway,2010,82,21690,8651,13039,0.4,0.4,0.5,66.3
"Custom Region",Norway,2010,83,20494,7974,12520,0.4,0.3,0.5,63.7
"Custom Region",Norway,2010,84,19216,7228,11988,0.4,0.3,0.5,60.3
"Custom Region",Norway,2010,85-89,74239,25014,49225,1.5,1.0,2.0,50.8
"Custom Region",Norway,2010,90-94,30597,8308,22289,0.6,0.3,0.9,37.3
"Custom Region",Norway,2010,95-99,7065,1543,5522,0.1,0.1,0.2,27.9
"Custom Region",Norway,2010,100+,834,136,698,0.0,0.0,0.0,19.5
