" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",India,2014,Total,1236344631,641674319,594670312,100.0,100.0,100.0,107.9
"Custom Region",India,2014,0,23787614,12574249,11213365,1.9,2.0,1.9,112.1
"Custom Region",India,2014,1,23563771,12477513,11086258,1.9,1.9,1.9,112.5
"Custom Region",India,2014,2,23490932,12457677,11033255,1.9,1.9,1.9,112.9
"Custom Region",India,2014,3,23465234,12454970,11010264,1.9,1.9,1.9,113.1
"Custom Region",India,2014,4,23442712,12451218,10991494,1.9,1.9,1.8,113.3
"Custom Region",India,2014,5,23413611,12441715,10971896,1.9,1.9,1.8,113.4
"Custom Region",India,2014,6,23378237,12426873,10951364,1.9,1.9,1.8,113.5
"Custom Region",India,2014,7,23333242,12406130,10927112,1.9,1.9,1.8,113.5
"Custom Region",India,2014,8,23355940,12421231,10934709,1.9,1.9,1.8,113.6
"Custom Region",India,2014,9,23439789,12467362,10972427,1.9,1.9,1.8,113.6
"Custom Region",India,2014,10,23493078,12495625,10997453,1.9,1.9,1.8,113.6
"Custom Region",India,2014,11,23510238,12504408,11005830,1.9,1.9,1.9,113.6
"Custom Region",India,2014,12,23496095,12496730,10999365,1.9,1.9,1.8,113.6
"Custom Region",India,2014,13,23467402,12481604,10985798,1.9,1.9,1.8,113.6
"Custom Region",India,2014,14,23427201,12459096,10968105,1.9,1.9,1.8,113.6
"Custom Region",India,2014,15,23358907,12420145,10938762,1.9,1.9,1.8,113.5
"Custom Region",India,2014,16,23266418,12365885,10900533,1.9,1.9,1.8,113.4
"Custom Region",India,2014,17,23141257,12293367,10847890,1.9,1.9,1.8,113.3
"Custom Region",India,2014,18,22946946,12183503,10763443,1.9,1.9,1.8,113.2
"Custom Region",India,2014,19,22684723,12036371,10648352,1.8,1.9,1.8,113.0
"Custom Region",India,2014,20,22392196,11872309,10519887,1.8,1.9,1.8,112.9
"Custom Region",India,2014,21,22069867,11692232,10377635,1.8,1.8,1.7,112.7
"Custom Region",India,2014,22,21717585,11497222,10220363,1.8,1.8,1.7,112.5
"Custom Region",India,2014,23,21364593,11264718,10099875,1.7,1.8,1.7,111.5
"Custom Region",India,2014,24,21096812,11070788,10026024,1.7,1.7,1.7,110.4
"Custom Region",India,2014,25,20919397,10947740,9971657,1.7,1.7,1.7,109.8
"Custom Region",India,2014,26,20725139,10829902,9895237,1.7,1.7,1.7,109.4
"Custom Region",India,2014,27,20512307,10707059,9805248,1.7,1.7,1.6,109.2
"Custom Region",India,2014,28,20283472,10574793,9708679,1.6,1.6,1.6,108.9
"Custom Region",India,2014,29,20044644,10435582,9609062,1.6,1.6,1.6,108.6
"Custom Region",India,2014,30,19798936,10294155,9504781,1.6,1.6,1.6,108.3
"Custom Region",India,2014,31,19547456,10150587,9396869,1.6,1.6,1.6,108.0
"Custom Region",India,2014,32,19290862,10005214,9285648,1.6,1.6,1.6,107.7
"Custom Region",India,2014,33,19029611,9857958,9171653,1.5,1.5,1.5,107.5
"Custom Region",India,2014,34,18763998,9708718,9055280,1.5,1.5,1.5,107.2
"Custom Region",India,2014,35,18495525,9558082,8937443,1.5,1.5,1.5,106.9
"Custom Region",India,2014,36,18225166,9406279,8818887,1.5,1.5,1.5,106.7
"Custom Region",India,2014,37,17952993,9253016,8699977,1.5,1.4,1.5,106.4
"Custom Region",India,2014,38,17680442,9098769,8581673,1.4,1.4,1.4,106.0
"Custom Region",India,2014,39,17408569,8943989,8464580,1.4,1.4,1.4,105.7
"Custom Region",India,2014,40,17137743,8789259,8348484,1.4,1.4,1.4,105.3
"Custom Region",India,2014,41,16867617,8634825,8232792,1.4,1.3,1.4,104.9
"Custom Region",India,2014,42,16603386,8483606,8119780,1.3,1.3,1.4,104.5
"Custom Region",India,2014,43,16205476,8270673,7934803,1.3,1.3,1.3,104.2
"Custom Region",India,2014,44,15679532,7998776,7680756,1.3,1.2,1.3,104.1
"Custom Region",India,2014,45,15169090,7734769,7434321,1.2,1.2,1.3,104.0
"Custom Region",India,2014,46,14669263,7476074,7193189,1.2,1.2,1.2,103.9
"Custom Region",India,2014,47,14179965,7222470,6957495,1.1,1.1,1.2,103.8
"Custom Region",India,2014,48,13700725,6973642,6727083,1.1,1.1,1.1,103.7
"Custom Region",India,2014,49,13230956,6729354,6501602,1.1,1.0,1.1,103.5
"Custom Region",India,2014,50,12769693,6489262,6280431,1.0,1.0,1.1,103.3
"Custom Region",India,2014,51,12315840,6252931,6062909,1.0,1.0,1.0,103.1
"Custom Region",India,2014,52,11868750,6020199,5848551,1.0,0.9,1.0,102.9
"Custom Region",India,2014,53,11427626,5790764,5636862,0.9,0.9,0.9,102.7
"Custom Region",India,2014,54,10991499,5564088,5427411,0.9,0.9,0.9,102.5
"Custom Region",India,2014,55,10559473,5339721,5219752,0.9,0.8,0.9,102.3
"Custom Region",India,2014,56,10130780,5117211,5013569,0.8,0.8,0.8,102.1
"Custom Region",India,2014,57,9705132,4896305,4808827,0.8,0.8,0.8,101.8
"Custom Region",India,2014,58,9282994,4677167,4605827,0.8,0.7,0.8,101.5
"Custom Region",India,2014,59,8865273,4460184,4405089,0.7,0.7,0.7,101.3
"Custom Region",India,2014,60,8452572,4245543,4207029,0.7,0.7,0.7,100.9
"Custom Region",India,2014,61,8045076,4033215,4011861,0.7,0.6,0.7,100.5
"Custom Region",India,2014,62,7642262,3822900,3819362,0.6,0.6,0.6,100.1
"Custom Region",India,2014,63,7252845,3618857,3633988,0.6,0.6,0.6,99.6
"Custom Region",India,2014,64,6864372,3414565,3449807,0.6,0.5,0.6,99.0
"Custom Region",India,2014,65,6510552,3226545,3284007,0.5,0.5,0.6,98.3
"Custom Region",India,2014,66,6158325,3039564,3118761,0.5,0.5,0.5,97.5
"Custom Region",India,2014,67,5811141,2855721,2955420,0.5,0.4,0.5,96.6
"Custom Region",India,2014,68,5468111,2674850,2793261,0.4,0.4,0.5,95.8
"Custom Region",India,2014,69,5128226,2496606,2631620,0.4,0.4,0.4,94.9
"Custom Region",India,2014,70,4791212,2320885,2470327,0.4,0.4,0.4,94.0
"Custom Region",India,2014,71,4457190,2147678,2309512,0.4,0.3,0.4,93.0
"Custom Region",India,2014,72,4126619,1977120,2149499,0.3,0.3,0.4,92.0
"Custom Region",India,2014,73,3800400,1809619,1990781,0.3,0.3,0.3,90.9
"Custom Region",India,2014,74,3479799,1645876,1833923,0.3,0.3,0.3,89.7
"Custom Region",India,2014,75,3166209,1486669,1679540,0.3,0.2,0.3,88.5
"Custom Region",India,2014,76,2860999,1332798,1528201,0.2,0.2,0.3,87.2
"Custom Region",India,2014,77,2565524,1185031,1380493,0.2,0.2,0.2,85.8
"Custom Region",India,2014,78,2281052,1044044,1237008,0.2,0.2,0.2,84.4
"Custom Region",India,2014,79,2008714,910356,1098358,0.2,0.1,0.2,82.9
"Custom Region",India,2014,80,1748026,783596,964430,0.1,0.1,0.2,81.2
"Custom Region",India,2014,81,1501244,664896,836348,0.1,0.1,0.1,79.5
"Custom Region",India,2014,82,1272479,556332,716147,0.1,0.1,0.1,77.7
"Custom Region",India,2014,83,1063280,458476,604804,0.1,0.1,0.1,75.8
"Custom Region",India,2014,84,874928,371695,503233,0.1,0.1,0.1,73.9
"Custom Region",India,2014,85-89,2297444,935666,1361778,0.2,0.1,0.2,68.7
"Custom Region",India,2014,90-94,508304,188078,320226,0.0,0.0,0.1,58.7
"Custom Region",India,2014,95-99,60512,20037,40475,0.0,0.0,0.0,49.5
"Custom Region",India,2014,100+,3484,1037,2447,0.0,0.0,0.0,42.4
