" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Norway,2012,Total,5021106,2518322,2502784,100.0,100.0,100.0,100.6
"Custom Region",Norway,2012,0,60511,31087,29424,1.2,1.2,1.2,105.7
"Custom Region",Norway,2012,1,61793,31713,30080,1.2,1.3,1.2,105.4
"Custom Region",Norway,2012,2,63221,32441,30780,1.3,1.3,1.2,105.4
"Custom Region",Norway,2012,3,63388,32584,30804,1.3,1.3,1.2,105.8
"Custom Region",Norway,2012,4,62478,32092,30386,1.2,1.3,1.2,105.6
"Custom Region",Norway,2012,5,62015,31845,30170,1.2,1.3,1.2,105.6
"Custom Region",Norway,2012,6,61286,31443,29843,1.2,1.2,1.2,105.4
"Custom Region",Norway,2012,7,60557,31078,29479,1.2,1.2,1.2,105.4
"Custom Region",Norway,2012,8,60402,31044,29358,1.2,1.2,1.2,105.7
"Custom Region",Norway,2012,9,59580,30548,29032,1.2,1.2,1.2,105.2
"Custom Region",Norway,2012,10,59773,30558,29215,1.2,1.2,1.2,104.6
"Custom Region",Norway,2012,11,61652,31588,30064,1.2,1.3,1.2,105.1
"Custom Region",Norway,2012,12,63072,32242,30830,1.3,1.3,1.2,104.6
"Custom Region",Norway,2012,13,63009,32166,30843,1.3,1.3,1.2,104.3
"Custom Region",Norway,2012,14,63462,32566,30896,1.3,1.3,1.2,105.4
"Custom Region",Norway,2012,15,65014,33537,31477,1.3,1.3,1.3,106.5
"Custom Region",Norway,2012,16,65553,33798,31755,1.3,1.3,1.3,106.4
"Custom Region",Norway,2012,17,65533,33737,31796,1.3,1.3,1.3,106.1
"Custom Region",Norway,2012,18,65478,33725,31753,1.3,1.3,1.3,106.2
"Custom Region",Norway,2012,19,66003,34007,31996,1.3,1.4,1.3,106.3
"Custom Region",Norway,2012,20,67347,34748,32599,1.3,1.4,1.3,106.6
"Custom Region",Norway,2012,21,69022,35572,33450,1.4,1.4,1.3,106.3
"Custom Region",Norway,2012,22,69365,35577,33788,1.4,1.4,1.4,105.3
"Custom Region",Norway,2012,23,68467,35014,33453,1.4,1.4,1.3,104.7
"Custom Region",Norway,2012,24,66707,33904,32803,1.3,1.3,1.3,103.4
"Custom Region",Norway,2012,25,65347,33272,32075,1.3,1.3,1.3,103.7
"Custom Region",Norway,2012,26,64846,33178,31668,1.3,1.3,1.3,104.8
"Custom Region",Norway,2012,27,64338,32886,31452,1.3,1.3,1.3,104.6
"Custom Region",Norway,2012,28,64368,32956,31412,1.3,1.3,1.3,104.9
"Custom Region",Norway,2012,29,65375,33570,31805,1.3,1.3,1.3,105.5
"Custom Region",Norway,2012,30,65896,33726,32170,1.3,1.3,1.3,104.8
"Custom Region",Norway,2012,31,65366,33552,31814,1.3,1.3,1.3,105.5
"Custom Region",Norway,2012,32,65117,33598,31519,1.3,1.3,1.3,106.6
"Custom Region",Norway,2012,33,64915,33549,31366,1.3,1.3,1.3,107.0
"Custom Region",Norway,2012,34,64152,33156,30996,1.3,1.3,1.2,107.0
"Custom Region",Norway,2012,35,64473,33209,31264,1.3,1.3,1.2,106.2
"Custom Region",Norway,2012,36,66399,34100,32299,1.3,1.4,1.3,105.6
"Custom Region",Norway,2012,37,68859,35175,33684,1.4,1.4,1.3,104.4
"Custom Region",Norway,2012,38,70959,36287,34672,1.4,1.4,1.4,104.7
"Custom Region",Norway,2012,39,72772,37300,35472,1.4,1.5,1.4,105.2
"Custom Region",Norway,2012,40,74036,37804,36232,1.5,1.5,1.4,104.3
"Custom Region",Norway,2012,41,73769,37603,36166,1.5,1.5,1.4,104.0
"Custom Region",Norway,2012,42,74457,38027,36430,1.5,1.5,1.5,104.4
"Custom Region",Norway,2012,43,75433,38597,36836,1.5,1.5,1.5,104.8
"Custom Region",Norway,2012,44,74191,37944,36247,1.5,1.5,1.4,104.7
"Custom Region",Norway,2012,45,73174,37502,35672,1.5,1.5,1.4,105.1
"Custom Region",Norway,2012,46,72582,37382,35200,1.4,1.5,1.4,106.2
"Custom Region",Norway,2012,47,71492,36830,34662,1.4,1.5,1.4,106.3
"Custom Region",Norway,2012,48,69712,35747,33965,1.4,1.4,1.4,105.2
"Custom Region",Norway,2012,49,67480,34527,32953,1.3,1.4,1.3,104.8
"Custom Region",Norway,2012,50,66242,33952,32290,1.3,1.3,1.3,105.1
"Custom Region",Norway,2012,51,65237,33318,31919,1.3,1.3,1.3,104.4
"Custom Region",Norway,2012,52,65008,33240,31768,1.3,1.3,1.3,104.6
"Custom Region",Norway,2012,53,64739,33047,31692,1.3,1.3,1.3,104.3
"Custom Region",Norway,2012,54,63888,32501,31387,1.3,1.3,1.3,103.5
"Custom Region",Norway,2012,55,63440,32134,31306,1.3,1.3,1.3,102.6
"Custom Region",Norway,2012,56,63036,31918,31118,1.3,1.3,1.2,102.6
"Custom Region",Norway,2012,57,61540,31126,30414,1.2,1.2,1.2,102.3
"Custom Region",Norway,2012,58,60542,30510,30032,1.2,1.2,1.2,101.6
"Custom Region",Norway,2012,59,59696,30159,29537,1.2,1.2,1.2,102.1
"Custom Region",Norway,2012,60,57759,29361,28398,1.2,1.2,1.1,103.4
"Custom Region",Norway,2012,61,56766,28847,27919,1.1,1.1,1.1,103.3
"Custom Region",Norway,2012,62,57163,28892,28271,1.1,1.1,1.1,102.2
"Custom Region",Norway,2012,63,57483,29106,28377,1.1,1.2,1.1,102.6
"Custom Region",Norway,2012,64,58211,29318,28893,1.2,1.2,1.2,101.5
"Custom Region",Norway,2012,65,59513,29821,29692,1.2,1.2,1.2,100.4
"Custom Region",Norway,2012,66,56932,28395,28537,1.1,1.1,1.1,99.5
"Custom Region",Norway,2012,67,52287,26046,26241,1.0,1.0,1.0,99.3
"Custom Region",Norway,2012,68,47842,23714,24128,1.0,0.9,1.0,98.3
"Custom Region",Norway,2012,69,42700,20950,21750,0.9,0.8,0.9,96.3
"Custom Region",Norway,2012,70,37838,18329,19509,0.8,0.7,0.8,94.0
"Custom Region",Norway,2012,71,35366,17032,18334,0.7,0.7,0.7,92.9
"Custom Region",Norway,2012,72,34869,16638,18231,0.7,0.7,0.7,91.3
"Custom Region",Norway,2012,73,32982,15499,17483,0.7,0.6,0.7,88.7
"Custom Region",Norway,2012,74,30936,14356,16580,0.6,0.6,0.7,86.6
"Custom Region",Norway,2012,75,28968,13317,15651,0.6,0.5,0.6,85.1
"Custom Region",Norway,2012,76,27235,12334,14901,0.5,0.5,0.6,82.8
"Custom Region",Norway,2012,77,25826,11487,14339,0.5,0.5,0.6,80.1
"Custom Region",Norway,2012,78,24905,11086,13819,0.5,0.4,0.6,80.2
"Custom Region",Norway,2012,79,24709,10774,13935,0.5,0.4,0.6,77.3
"Custom Region",Norway,2012,80,24378,10447,13931,0.5,0.4,0.6,75.0
"Custom Region",Norway,2012,81,23183,9691,13492,0.5,0.4,0.5,71.8
"Custom Region",Norway,2012,82,21831,8983,12848,0.4,0.4,0.5,69.9
"Custom Region",Norway,2012,83,20131,8011,12120,0.4,0.3,0.5,66.1
"Custom Region",Norway,2012,84,18715,7160,11555,0.4,0.3,0.5,62.0
"Custom Region",Norway,2012,85-89,72701,25319,47382,1.4,1.0,1.9,53.4
"Custom Region",Norway,2012,90-94,33497,9489,24008,0.7,0.4,1.0,39.5
"Custom Region",Norway,2012,95-99,7842,1755,6087,0.2,0.1,0.2,28.8
"Custom Region",Norway,2012,100+,974,169,805,0.0,0.0,0.0,21.0
