" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",UnitedStates,1999,Total,279040168,136802873,142237295,100.0,100.0,100.0,96.2
"Custom Region",UnitedStates,1999,0,3795762,1943639,1852123,1.4,1.4,1.3,104.9
"Custom Region",UnitedStates,1999,1,3784001,1935343,1848658,1.4,1.4,1.3,104.7
"Custom Region",UnitedStates,1999,2,3783695,1933818,1849877,1.4,1.4,1.3,104.5
"Custom Region",UnitedStates,1999,3,3826501,1957234,1869267,1.4,1.4,1.3,104.7
"Custom Region",UnitedStates,1999,4,3945585,2019773,1925812,1.4,1.5,1.4,104.9
"Custom Region",UnitedStates,1999,5,3995596,2047540,1948056,1.4,1.5,1.4,105.1
"Custom Region",UnitedStates,1999,6,4044949,2073231,1971718,1.4,1.5,1.4,105.1
"Custom Region",UnitedStates,1999,7,4165859,2129903,2035956,1.5,1.6,1.4,104.6
"Custom Region",UnitedStates,1999,8,4178894,2139778,2039116,1.5,1.6,1.4,104.9
"Custom Region",UnitedStates,1999,9,4221162,2163390,2057772,1.5,1.6,1.4,105.1
"Custom Region",UnitedStates,1999,10,4144940,2125169,2019771,1.5,1.6,1.4,105.2
"Custom Region",UnitedStates,1999,11,4036399,2066697,1969702,1.4,1.5,1.4,104.9
"Custom Region",UnitedStates,1999,12,4011128,2054524,1956604,1.4,1.5,1.4,105.0
"Custom Region",UnitedStates,1999,13,4004643,2051767,1952876,1.4,1.5,1.4,105.1
"Custom Region",UnitedStates,1999,14,4016254,2059543,1956711,1.4,1.5,1.4,105.3
"Custom Region",UnitedStates,1999,15,3934744,2022688,1912056,1.4,1.5,1.3,105.8
"Custom Region",UnitedStates,1999,16,4021862,2072157,1949705,1.4,1.5,1.4,106.3
"Custom Region",UnitedStates,1999,17,4034386,2085243,1949143,1.4,1.5,1.4,107.0
"Custom Region",UnitedStates,1999,18,3990308,2047836,1942472,1.4,1.5,1.4,105.4
"Custom Region",UnitedStates,1999,19,4103302,2095109,2008193,1.5,1.5,1.4,104.3
"Custom Region",UnitedStates,1999,20,3920076,2006118,1913958,1.4,1.5,1.3,104.8
"Custom Region",UnitedStates,1999,21,3762940,1924634,1838306,1.3,1.4,1.3,104.7
"Custom Region",UnitedStates,1999,22,3695951,1888250,1807701,1.3,1.4,1.3,104.5
"Custom Region",UnitedStates,1999,23,3561920,1817406,1744514,1.3,1.3,1.2,104.2
"Custom Region",UnitedStates,1999,24,3650542,1856406,1794136,1.3,1.4,1.3,103.5
"Custom Region",UnitedStates,1999,25,3652312,1855186,1797126,1.3,1.4,1.3,103.2
"Custom Region",UnitedStates,1999,26,3666165,1851638,1814527,1.3,1.4,1.3,102.0
"Custom Region",UnitedStates,1999,27,3939601,1988011,1951590,1.4,1.5,1.4,101.9
"Custom Region",UnitedStates,1999,28,4150463,2087761,2062702,1.5,1.5,1.5,101.2
"Custom Region",UnitedStates,1999,29,4166516,2096494,2070022,1.5,1.5,1.5,101.3
"Custom Region",UnitedStates,1999,30,4176407,2113685,2062722,1.5,1.5,1.5,102.5
"Custom Region",UnitedStates,1999,31,3935632,1979071,1956561,1.4,1.4,1.4,101.2
"Custom Region",UnitedStates,1999,32,4045114,2029955,2015159,1.4,1.5,1.4,100.7
"Custom Region",UnitedStates,1999,33,4080760,2043812,2036948,1.5,1.5,1.4,100.3
"Custom Region",UnitedStates,1999,34,4365436,2187703,2177733,1.6,1.6,1.5,100.5
"Custom Region",UnitedStates,1999,35,4601162,2309804,2291358,1.6,1.7,1.6,100.8
"Custom Region",UnitedStates,1999,36,4543860,2262633,2281227,1.6,1.7,1.6,99.2
"Custom Region",UnitedStates,1999,37,4584978,2285254,2299724,1.6,1.7,1.6,99.4
"Custom Region",UnitedStates,1999,38,4531008,2253595,2277413,1.6,1.6,1.6,99.0
"Custom Region",UnitedStates,1999,39,4621541,2297109,2324432,1.7,1.7,1.6,98.8
"Custom Region",UnitedStates,1999,40,4663542,2324302,2339240,1.7,1.7,1.6,99.4
"Custom Region",UnitedStates,1999,41,4462222,2211221,2251001,1.6,1.6,1.6,98.2
"Custom Region",UnitedStates,1999,42,4508019,2236572,2271447,1.6,1.6,1.6,98.5
"Custom Region",UnitedStates,1999,43,4297293,2117912,2179381,1.5,1.5,1.5,97.2
"Custom Region",UnitedStates,1999,44,4263052,2108671,2154381,1.5,1.5,1.5,97.9
"Custom Region",UnitedStates,1999,45,4243275,2098110,2145165,1.5,1.5,1.5,97.8
"Custom Region",UnitedStates,1999,46,3996539,1963776,2032763,1.4,1.4,1.4,96.6
"Custom Region",UnitedStates,1999,47,3937632,1935093,2002539,1.4,1.4,1.4,96.6
"Custom Region",UnitedStates,1999,48,3711221,1821344,1889877,1.3,1.3,1.3,96.4
"Custom Region",UnitedStates,1999,49,3765540,1848150,1917390,1.3,1.4,1.3,96.4
"Custom Region",UnitedStates,1999,50,3759256,1845237,1914019,1.3,1.3,1.3,96.4
"Custom Region",UnitedStates,1999,51,3603339,1763110,1840229,1.3,1.3,1.3,95.8
"Custom Region",UnitedStates,1999,52,3876977,1902244,1974733,1.4,1.4,1.4,96.3
"Custom Region",UnitedStates,1999,53,2784868,1354601,1430267,1.0,1.0,1.0,94.7
"Custom Region",UnitedStates,1999,54,2899172,1413849,1485323,1.0,1.0,1.0,95.2
"Custom Region",UnitedStates,1999,55,2854647,1387851,1466796,1.0,1.0,1.0,94.6
"Custom Region",UnitedStates,1999,56,2937365,1425146,1512219,1.1,1.0,1.1,94.2
"Custom Region",UnitedStates,1999,57,2562178,1234135,1328043,0.9,0.9,0.9,92.9
"Custom Region",UnitedStates,1999,58,2413390,1161330,1252060,0.9,0.8,0.9,92.8
"Custom Region",UnitedStates,1999,59,2317241,1111325,1205916,0.8,0.8,0.8,92.2
"Custom Region",UnitedStates,1999,60,2310077,1105604,1204473,0.8,0.8,0.8,91.8
"Custom Region",UnitedStates,1999,61,2179628,1040972,1138656,0.8,0.8,0.8,91.4
"Custom Region",UnitedStates,1999,62,2076737,987004,1089733,0.7,0.7,0.8,90.6
"Custom Region",UnitedStates,1999,63,2055864,972058,1083806,0.7,0.7,0.8,89.7
"Custom Region",UnitedStates,1999,64,2070899,973838,1097061,0.7,0.7,0.8,88.8
"Custom Region",UnitedStates,1999,65,1910015,893181,1016834,0.7,0.7,0.7,87.8
"Custom Region",UnitedStates,1999,66,1897274,878101,1019173,0.7,0.6,0.7,86.2
"Custom Region",UnitedStates,1999,67,1917888,881579,1036309,0.7,0.6,0.7,85.1
"Custom Region",UnitedStates,1999,68,1918627,879732,1038895,0.7,0.6,0.7,84.7
"Custom Region",UnitedStates,1999,69,1897694,866917,1030777,0.7,0.6,0.7,84.1
"Custom Region",UnitedStates,1999,70,1869141,833870,1035271,0.7,0.6,0.7,80.5
"Custom Region",UnitedStates,1999,71,1831912,817423,1014489,0.7,0.6,0.7,80.6
"Custom Region",UnitedStates,1999,72,1752158,767132,985026,0.6,0.6,0.7,77.9
"Custom Region",UnitedStates,1999,73,1715307,745737,969570,0.6,0.5,0.7,76.9
"Custom Region",UnitedStates,1999,74,1708893,729813,979080,0.6,0.5,0.7,74.5
"Custom Region",UnitedStates,1999,75,1635100,688571,946529,0.6,0.5,0.7,72.7
"Custom Region",UnitedStates,1999,76,1539897,639620,900277,0.6,0.5,0.6,71.0
"Custom Region",UnitedStates,1999,77,1499691,617131,882560,0.5,0.5,0.6,69.9
"Custom Region",UnitedStates,1999,78,1408598,570134,838464,0.5,0.4,0.6,68.0
"Custom Region",UnitedStates,1999,79,1259320,495929,763391,0.5,0.4,0.5,65.0
"Custom Region",UnitedStates,1999,80,1186831,457270,729561,0.4,0.3,0.5,62.7
"Custom Region",UnitedStates,1999,81,1047808,394121,653687,0.4,0.3,0.5,60.3
"Custom Region",UnitedStates,1999,82,972792,362232,610560,0.3,0.3,0.4,59.3
"Custom Region",UnitedStates,1999,83,875954,312444,563510,0.3,0.2,0.4,55.4
"Custom Region",UnitedStates,1999,84,798923,276264,522659,0.3,0.2,0.4,52.9
"Custom Region",UnitedStates,1999,85-89,2727052,850552,1876500,1.0,0.6,1.3,45.3
"Custom Region",UnitedStates,1999,90-94,1098856,276941,821915,0.4,0.2,0.6,33.7
"Custom Region",UnitedStates,1999,95-99,279282,56321,222961,0.1,0.0,0.2,25.3
"Custom Region",UnitedStates,1999,100+,48828,9496,39332,0.0,0.0,0.0,24.1
