" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Norway,2011,Total,4955373,2480664,2474709,100.0,100.0,100.0,100.2
"Custom Region",Norway,2011,0,61039,31331,29708,1.2,1.3,1.2,105.5
"Custom Region",Norway,2011,1,62463,32058,30405,1.3,1.3,1.2,105.4
"Custom Region",Norway,2011,2,62628,32200,30428,1.3,1.3,1.2,105.8
"Custom Region",Norway,2011,3,61716,31706,30010,1.2,1.3,1.2,105.7
"Custom Region",Norway,2011,4,61451,31554,29897,1.2,1.3,1.2,105.5
"Custom Region",Norway,2011,5,60892,31245,29647,1.2,1.3,1.2,105.4
"Custom Region",Norway,2011,6,60164,30881,29283,1.2,1.2,1.2,105.5
"Custom Region",Norway,2011,7,60007,30845,29162,1.2,1.2,1.2,105.8
"Custom Region",Norway,2011,8,59184,30350,28834,1.2,1.2,1.2,105.3
"Custom Region",Norway,2011,9,59396,30361,29035,1.2,1.2,1.2,104.6
"Custom Region",Norway,2011,10,61282,31387,29895,1.2,1.3,1.2,105.0
"Custom Region",Norway,2011,11,62702,32041,30661,1.3,1.3,1.2,104.5
"Custom Region",Norway,2011,12,62641,31967,30674,1.3,1.3,1.2,104.2
"Custom Region",Norway,2011,13,63093,32366,30727,1.3,1.3,1.2,105.3
"Custom Region",Norway,2011,14,64537,33286,31251,1.3,1.3,1.3,106.5
"Custom Region",Norway,2011,15,64991,33508,31483,1.3,1.4,1.3,106.4
"Custom Region",Norway,2011,16,64978,33451,31527,1.3,1.3,1.3,106.1
"Custom Region",Norway,2011,17,64932,33444,31488,1.3,1.3,1.3,106.2
"Custom Region",Norway,2011,18,65460,33730,31730,1.3,1.4,1.3,106.3
"Custom Region",Norway,2011,19,66365,34269,32096,1.3,1.4,1.3,106.8
"Custom Region",Norway,2011,20,67482,34808,32674,1.4,1.4,1.3,106.5
"Custom Region",Norway,2011,21,67820,34812,33008,1.4,1.4,1.3,105.5
"Custom Region",Norway,2011,22,66923,34245,32678,1.4,1.4,1.3,104.8
"Custom Region",Norway,2011,23,65160,33134,32026,1.3,1.3,1.3,103.5
"Custom Region",Norway,2011,24,63445,32268,31177,1.3,1.3,1.3,103.5
"Custom Region",Norway,2011,25,62725,32011,30714,1.3,1.3,1.2,104.2
"Custom Region",Norway,2011,26,62213,31717,30496,1.3,1.3,1.2,104.0
"Custom Region",Norway,2011,27,62247,31789,30458,1.3,1.3,1.2,104.4
"Custom Region",Norway,2011,28,63255,32402,30853,1.3,1.3,1.2,105.0
"Custom Region",Norway,2011,29,64171,32708,31463,1.3,1.3,1.3,104.0
"Custom Region",Norway,2011,30,63990,32673,31317,1.3,1.3,1.3,104.3
"Custom Region",Norway,2011,31,63745,32719,31026,1.3,1.3,1.3,105.5
"Custom Region",Norway,2011,32,63543,32668,30875,1.3,1.3,1.2,105.8
"Custom Region",Norway,2011,33,62781,32277,30504,1.3,1.3,1.2,105.8
"Custom Region",Norway,2011,34,63361,32505,30856,1.3,1.3,1.2,105.3
"Custom Region",Norway,2011,35,65525,33541,31984,1.3,1.4,1.3,104.9
"Custom Region",Norway,2011,36,67988,34618,33370,1.4,1.4,1.3,103.7
"Custom Region",Norway,2011,37,70089,35734,34355,1.4,1.4,1.4,104.0
"Custom Region",Norway,2011,38,71913,36751,35162,1.5,1.5,1.4,104.5
"Custom Region",Norway,2011,39,73365,37366,35999,1.5,1.5,1.5,103.8
"Custom Region",Norway,2011,40,73246,37271,35975,1.5,1.5,1.5,103.6
"Custom Region",Norway,2011,41,73944,37701,36243,1.5,1.5,1.5,104.0
"Custom Region",Norway,2011,42,74930,38280,36650,1.5,1.5,1.5,104.4
"Custom Region",Norway,2011,43,73690,37627,36063,1.5,1.5,1.5,104.3
