" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",India,2013,Total,1220800359,633563967,587236392,100.0,100.0,100.0,107.9
"Custom Region",India,2013,0,23871430,12618669,11252761,2.0,2.0,1.9,112.1
"Custom Region",India,2013,1,23629132,12513291,11115841,1.9,2.0,1.9,112.6
"Custom Region",India,2013,2,23543659,12487869,11055790,1.9,2.0,1.9,113.0
"Custom Region",India,2013,3,23501131,12476195,11024936,1.9,2.0,1.9,113.2
"Custom Region",India,2013,4,23457723,12461156,10996567,1.9,2.0,1.9,113.3
"Custom Region",India,2013,5,23409543,12441831,10967712,1.9,2.0,1.9,113.4
"Custom Region",India,2013,6,23357226,12418264,10938962,1.9,2.0,1.9,113.5
"Custom Region",India,2013,7,23375691,12431519,10944172,1.9,2.0,1.9,113.6
"Custom Region",India,2013,8,23457045,12476515,10980530,1.9,2.0,1.9,113.6
"Custom Region",India,2013,9,23509015,12504191,11004824,1.9,2.0,1.9,113.6
"Custom Region",India,2013,10,23525600,12512704,11012896,1.9,2.0,1.9,113.6
"Custom Region",India,2013,11,23511537,12505092,11006445,1.9,2.0,1.9,113.6
"Custom Region",India,2013,12,23483649,12490324,10993325,1.9,2.0,1.9,113.6
"Custom Region",India,2013,13,23444958,12468478,10976480,1.9,2.0,1.9,113.6
"Custom Region",India,2013,14,23378953,12430579,10948374,1.9,2.0,1.9,113.5
"Custom Region",India,2013,15,23289301,12377623,10911678,1.9,2.0,1.9,113.4
"Custom Region",India,2013,16,23167011,12306435,10860576,1.9,1.9,1.8,113.3
"Custom Region",India,2013,17,22974979,12197754,10777225,1.9,1.9,1.8,113.2
"Custom Region",India,2013,18,22714125,12051569,10662556,1.9,1.9,1.8,113.0
"Custom Region",India,2013,19,22422476,11888244,10534232,1.8,1.9,1.8,112.9
"Custom Region",India,2013,20,22101009,11708931,10392078,1.8,1.8,1.8,112.7
"Custom Region",India,2013,21,21749617,11514747,10234870,1.8,1.8,1.7,112.5
"Custom Region",India,2013,22,21397451,11282882,10114569,1.8,1.8,1.7,111.6
"Custom Region",India,2013,23,21130552,11089491,10041061,1.7,1.8,1.7,110.4
"Custom Region",India,2013,24,20954936,10967333,9987603,1.7,1.7,1.7,109.8
"Custom Region",India,2013,25,20762281,10850329,9911952,1.7,1.7,1.7,109.5
"Custom Region",India,2013,26,20549984,10727869,9822115,1.7,1.7,1.7,109.2
"Custom Region",India,2013,27,20321573,10595908,9725665,1.7,1.7,1.7,108.9
"Custom Region",India,2013,28,20083067,10457000,9626067,1.6,1.7,1.6,108.6
"Custom Region",India,2013,29,19837733,10316301,9521432,1.6,1.6,1.6,108.3
"Custom Region",India,2013,30,19586585,10173436,9413149,1.6,1.6,1.6,108.1
"Custom Region",India,2013,31,19330453,10028508,9301945,1.6,1.6,1.6,107.8
"Custom Region",India,2013,32,19070156,9882033,9188123,1.6,1.6,1.6,107.6
"Custom Region",India,2013,33,18805985,9733898,9072087,1.5,1.5,1.5,107.3
"Custom Region",India,2013,34,18538553,9584154,8954399,1.5,1.5,1.5,107.0
"Custom Region",India,2013,35,18269403,9433386,8836017,1.5,1.5,1.5,106.8
"Custom Region",India,2013,36,17999173,9281581,8717592,1.5,1.5,1.5,106.5
"Custom Region",India,2013,37,17728246,9128496,8599750,1.5,1.4,1.5,106.1
"Custom Region",India,2013,38,17457685,8974565,8483120,1.4,1.4,1.4,105.8
"Custom Region",India,2013,39,17187805,8820345,8367460,1.4,1.4,1.4,105.4
"Custom Region",India,2013,40,16918740,8666487,8252253,1.4,1.4,1.4,105.0
"Custom Region",India,2013,41,16656321,8516339,8139982,1.4,1.3,1.4,104.6
"Custom Region",India,2013,42,16260531,8304694,7955837,1.3,1.3,1.4,104.4
"Custom Region",India,2013,43,15737004,8034316,7702688,1.3,1.3,1.3,104.3
"Custom Region",India,2013,44,15229500,7772141,7457359,1.2,1.2,1.3,104.2
"Custom Region",India,2013,45,14732910,7515439,7217471,1.2,1.2,1.2,104.1
"Custom Region",India,2013,46,14247072,7263949,6983123,1.2,1.1,1.2,104.0
"Custom Region",India,2013,47,13771424,7017308,6754116,1.1,1.1,1.2,103.9
"Custom Region",India,2013,48,13305354,6775264,6530090,1.1,1.1,1.1,103.8
"Custom Region",India,2013,49,12847876,6537460,6310416,1.1,1.0,1.1,103.6
"Custom Region",India,2013,50,12398084,6303575,6094509,1.0,1.0,1.0,103.4
"Custom Region",India,2013,51,11955589,6073565,5882024,1.0,1.0,1.0,103.3
"Custom Region",India,2013,52,11519701,5847143,5672558,0.9,0.9,1.0,103.1
"Custom Region",India,2013,53,11089485,5623787,5465698,0.9,0.9,0.9,102.9
"Custom Region",India,2013,54,10663919,5402985,5260934,0.9,0.9,0.9,102.7
"Custom Region",India,2013,55,10241977,5184159,5057818,0.8,0.8,0.9,102.5
"Custom Region",India,2013,56,9822880,4966828,4856052,0.8,0.8,0.8,102.3
"Custom Region",India,2013,57,9406528,4750881,4655647,0.8,0.7,0.8,102.0
"Custom Region",India,2013,58,8993650,4536624,4457026,0.7,0.7,0.8,101.8
"Custom Region",India,2013,59,8585175,4324400,4260775,0.7,0.7,0.7,101.5
"Custom Region",India,2013,60,8181842,4114413,4067429,0.7,0.6,0.7,101.2
"Custom Region",India,2013,61,7783244,3906379,3876865,0.6,0.6,0.7,100.8
"Custom Region",India,2013,62,7398193,3704578,3693615,0.6,0.6,0.6,100.3
"Custom Region",India,2013,63,7014051,3502353,3511698,0.6,0.6,0.6,99.7
"Custom Region",India,2013,64,6665043,3316555,3348488,0.5,0.5,0.6,99.0
"Custom Region",India,2013,65,6317372,3131568,3185804,0.5,0.5,0.5,98.3
"Custom Region",India,2013,66,5974913,2949721,3025192,0.5,0.5,0.5,97.5
"Custom Region",India,2013,67,5637054,2770984,2866070,0.5,0.4,0.5,96.7
"Custom Region",India,2013,68,5302737,2594985,2707752,0.4,0.4,0.5,95.8
"Custom Region",India,2013,69,4971299,2421417,2549882,0.4,0.4,0.4,95.0
"Custom Region",India,2013,70,4642467,2250069,2392398,0.4,0.4,0.4,94.1
"Custom Region",India,2013,71,4316323,2080891,2235432,0.4,0.3,0.4,93.1
"Custom Region",India,2013,72,3993426,1914123,2079303,0.3,0.3,0.4,92.1
"Custom Region",India,2013,73,3674885,1750403,1924482,0.3,0.3,0.3,91.0
"Custom Region",India,2013,74,3362018,1590492,1771526,0.3,0.3,0.3,89.8
"Custom Region",India,2013,75,3056229,1435227,1621002,0.3,0.2,0.3,88.5
"Custom Region",India,2013,76,2758935,1285429,1473506,0.2,0.2,0.3,87.2
"Custom Region",India,2013,77,2471412,1141804,1329608,0.2,0.2,0.2,85.9
"Custom Region",India,2013,78,2194805,1004892,1189913,0.2,0.2,0.2,84.5
"Custom Region",India,2013,79,1930201,875181,1055020,0.2,0.1,0.2,83.0
