" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",China,2011,Total,1342946472,691476589,651469883,100.0,100.0,100.0,106.1
"Custom Region",China,2011,0,15774095,8525098,7248997,1.2,1.2,1.1,117.6
"Custom Region",China,2011,1,15674640,8483708,7190932,1.2,1.2,1.1,118.0
"Custom Region",China,2011,2,15720864,8509344,7211520,1.2,1.2,1.1,118.0
"Custom Region",China,2011,3,15704664,8500914,7203750,1.2,1.2,1.1,118.0
"Custom Region",China,2011,4,15560792,8423806,7136986,1.2,1.2,1.1,118.0
"Custom Region",China,2011,5,15335345,8302618,7032727,1.1,1.2,1.1,118.1
"Custom Region",China,2011,6,15015236,8129879,6885357,1.1,1.2,1.1,118.1
"Custom Region",China,2011,7,14792715,8010148,6782567,1.1,1.2,1.0,118.1
"Custom Region",China,2011,8,14801560,8016376,6785184,1.1,1.2,1.0,118.1
"Custom Region",China,2011,9,15029970,8142359,6887611,1.1,1.2,1.1,118.2
"Custom Region",China,2011,10,15422503,8358612,7063891,1.1,1.2,1.1,118.3
"Custom Region",China,2011,11,15949325,8632716,7316609,1.2,1.2,1.1,118.0
"Custom Region",China,2011,12,16607304,8959414,7647890,1.2,1.3,1.2,117.1
"Custom Region",China,2011,13,17310714,9306668,8004046,1.3,1.3,1.2,116.3
"Custom Region",China,2011,14,18007470,9647403,8360067,1.3,1.4,1.3,115.4
"Custom Region",China,2011,15,19092946,10189889,8903057,1.4,1.5,1.4,114.5
"Custom Region",China,2011,16,19982812,10622659,9360153,1.5,1.5,1.4,113.5
"Custom Region",China,2011,17,20274092,10734366,9539726,1.5,1.6,1.5,112.5
"Custom Region",China,2011,18,20301675,10705600,9596075,1.5,1.5,1.5,111.6
"Custom Region",China,2011,19,20844727,10945462,9899265,1.6,1.6,1.5,110.6
"Custom Region",China,2011,20,21932159,11477701,10454458,1.6,1.7,1.6,109.8
"Custom Region",China,2011,21,29712017,15085623,14626394,2.2,2.2,2.2,103.1
"Custom Region",China,2011,22,26097828,13052875,13044953,1.9,1.9,2.0,100.1
"Custom Region",China,2011,23,24537297,12674039,11863258,1.8,1.8,1.8,106.8
"Custom Region",China,2011,24,25931950,13352146,12579804,1.9,1.9,1.9,106.1
"Custom Region",China,2011,25,21831774,11243038,10588736,1.6,1.6,1.6,106.2
"Custom Region",China,2011,26,19573126,10092487,9480639,1.5,1.5,1.5,106.5
"Custom Region",China,2011,27,19604904,10037379,9567525,1.5,1.5,1.5,104.9
"Custom Region",China,2011,28,20094476,10235129,9859347,1.5,1.5,1.5,103.8
"Custom Region",China,2011,29,23771042,12227630,11543412,1.8,1.8,1.8,105.9
"Custom Region",China,2011,30,17905523,9237630,8667893,1.3,1.3,1.3,106.6
