" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",China,2014,Total,1361344333,700476674,660867659,100.0,100.0,100.0,106.0
"Custom Region",China,2014,0,16359456,8771161,7588295,1.2,1.3,1.1,115.6
"Custom Region",China,2014,1,16129305,8671931,7457374,1.2,1.2,1.1,116.3
"Custom Region",China,2014,2,15935422,8591640,7343782,1.2,1.2,1.1,117.0
"Custom Region",China,2014,3,15710704,8493762,7216942,1.2,1.2,1.1,117.7
"Custom Region",China,2014,4,15631685,8462568,7169117,1.1,1.2,1.1,118.0
"Custom Region",China,2014,5,15688443,8492920,7195523,1.2,1.2,1.1,118.0
"Custom Region",China,2014,6,15679035,8487171,7191864,1.2,1.2,1.1,118.0
"Custom Region",China,2014,7,15539800,8411490,7128310,1.1,1.2,1.1,118.0
"Custom Region",China,2014,8,15317237,8291145,7026092,1.1,1.2,1.1,118.0
"Custom Region",China,2014,9,14998764,8119190,6879574,1.1,1.2,1.0,118.0
"Custom Region",China,2014,10,14777382,8000138,6777244,1.1,1.1,1.0,118.0
"Custom Region",China,2014,11,14786825,8006810,6780015,1.1,1.1,1.0,118.1
"Custom Region",China,2014,12,15015255,8132912,6882343,1.1,1.2,1.0,118.2
"Custom Region",China,2014,13,15407156,8348849,7058307,1.1,1.2,1.1,118.3
"Custom Region",China,2014,14,15932503,8622074,7310429,1.2,1.2,1.1,117.9
"Custom Region",China,2014,15,16576425,8939997,7636428,1.2,1.3,1.2,117.1
"Custom Region",China,2014,16,17254088,9270804,7983284,1.3,1.3,1.2,116.1
"Custom Region",China,2014,17,17925004,9594634,8330370,1.3,1.4,1.3,115.2
"Custom Region",China,2014,18,18994150,10126157,8867993,1.4,1.4,1.3,114.2
"Custom Region",China,2014,19,19877869,10554644,9323225,1.5,1.5,1.4,113.2
"Custom Region",China,2014,20,20160798,10660689,9500109,1.5,1.5,1.4,112.2
"Custom Region",China,2014,21,20177521,10624601,9552920,1.5,1.5,1.4,111.2
"Custom Region",China,2014,22,20709223,10856634,9852589,1.5,1.5,1.5,110.2
"Custom Region",China,2014,23,21788201,11382798,10405403,1.6,1.6,1.6,109.4
"Custom Region",China,2014,24,29547289,14976822,14570467,2.2,2.1,2.2,102.8
"Custom Region",China,2014,25,25945925,12953165,12992760,1.9,1.8,2.0,99.7
"Custom Region",China,2014,26,24396012,12580539,11815473,1.8,1.8,1.8,106.5
"Custom Region",China,2014,27,25794362,13261244,12533118,1.9,1.9,1.9,105.8
"Custom Region",China,2014,28,21707784,11161656,10546128,1.6,1.6,1.6,105.8
