" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",China,2010,Total,1336680939,688364362,648316577,100.0,100.0,100.0,106.2
"Custom Region",China,2010,0,15705893,8499084,7206809,1.2,1.2,1.1,117.9
"Custom Region",China,2010,1,15740373,8518955,7221418,1.2,1.2,1.1,118.0
"Custom Region",China,2010,2,15718281,8507974,7210307,1.2,1.2,1.1,118.0
"Custom Region",China,2010,3,15571461,8429225,7142236,1.2,1.2,1.1,118.0
"Custom Region",China,2010,4,15343857,8307210,7036647,1.1,1.2,1.1,118.1
"Custom Region",China,2010,5,15022099,8134146,6887953,1.1,1.2,1.1,118.1
"Custom Region",China,2010,6,14798915,8014190,6784725,1.1,1.2,1.0,118.1
"Custom Region",China,2010,7,14807364,8020255,6787109,1.1,1.2,1.0,118.2
"Custom Region",China,2010,8,15035517,8146095,6889422,1.1,1.2,1.1,118.2
"Custom Region",China,2010,9,15427920,8362224,7065696,1.2,1.2,1.1,118.3
"Custom Region",China,2010,10,15954833,8636338,7318495,1.2,1.3,1.1,118.0
"Custom Region",China,2010,11,16613084,8963166,7649918,1.2,1.3,1.2,117.2
"Custom Region",China,2010,12,17317035,9310729,8006306,1.3,1.4,1.2,116.3
"Custom Region",China,2010,13,18014779,9652080,8362699,1.3,1.4,1.3,115.4
"Custom Region",China,2010,14,19111596,10202141,8909455,1.4,1.5,1.4,114.5
"Custom Region",China,2010,15,20012754,10642646,9370108,1.5,1.5,1.4,113.6
"Custom Region",China,2010,16,20306095,10755719,9550376,1.5,1.6,1.5,112.6
"Custom Region",China,2010,17,20335298,10728108,9607190,1.5,1.6,1.5,111.7
"Custom Region",China,2010,18,20879890,10969159,9910731,1.6,1.6,1.5,110.7
"Custom Region",China,2010,19,21972626,11505085,10467541,1.6,1.7,1.6,109.9
"Custom Region",China,2010,20,29763116,15120232,14642884,2.2,2.2,2.3,103.3
"Custom Region",China,2010,21,26146880,13086150,13060730,2.0,1.9,2.0,100.2
"Custom Region",China,2010,22,24585914,12707404,11878510,1.8,1.8,1.8,107.0
"Custom Region",China,2010,23,25982095,13386531,12595564,1.9,1.9,1.9,106.3
"Custom Region",China,2010,24,21874966,11272559,10602407,1.6,1.6,1.6,106.3
"Custom Region",China,2010,25,19611174,10118395,9492779,1.5,1.5,1.5,106.6
"Custom Region",China,2010,26,19642997,10063199,9579798,1.5,1.5,1.5,105.0
"Custom Region",China,2010,27,20133371,10261388,9871983,1.5,1.5,1.5,103.9
"Custom Region",China,2010,28,23814310,12256918,11557392,1.8,1.8,1.8,106.1
"Custom Region",China,2010,29,17938404,9259990,8678414,1.3,1.3,1.3,106.7
"Custom Region",China,2010,30,18650218,9575608,9074610,1.4,1.4,1.4,105.5
"Custom Region",China,2010,31,18717138,9582773,9134365,1.4,1.4,1.4,104.9
"Custom Region",China,2010,32,18261364,9330228,8931136,1.4,1.4,1.4,104.5
"Custom Region",China,2010,33,18734282,9573158,9161124,1.4,1.4,1.4,104.5
"Custom Region",China,2010,34,19783616,10096363,9687253,1.5,1.5,1.5,104.2
"Custom Region",China,2010,35,20922855,10656683,10266172,1.6,1.5,1.6,103.8
"Custom Region",China,2010,36,22708294,11542810,11165484,1.7,1.7,1.7,103.4
"Custom Region",China,2010,37,23741092,12080830,11660262,1.8,1.8,1.8,103.6
"Custom Region",China,2010,38,23919694,12290022,11629672,1.8,1.8,1.8,105.7
"Custom Region",China,2010,39,25505024,13164831,12340193,1.9,1.9,1.9,106.7
"Custom Region",China,2010,40,25552328,13038272,12514056,1.9,1.9,1.9,104.2
"Custom Region",China,2010,41,26590186,13601669,12988517,2.0,2.0,2.0,104.7
"Custom Region",China,2010,42,23980433,12333796,11646637,1.8,1.8,1.8,105.9
"Custom Region",China,2010,43,22224077,11395207,10828870,1.7,1.7,1.7,105.2
"Custom Region",China,2010,44,24326164,12411804,11914360,1.8,1.8,1.8,104.2
"Custom Region",China,2010,45,23641955,12051827,11590128,1.8,1.8,1.8,104.0
"Custom Region",China,2010,46,24339509,12370805,11968704,1.8,1.8,1.8,103.4
"Custom Region",China,2010,47,25951644,13289456,12662188,1.9,1.9,2.0,105.0
"Custom Region",China,2010,48,15250236,7725292,7524944,1.1,1.1,1.2,102.7
"Custom Region",China,2010,49,10983633,5530301,5453332,0.8,0.8,0.8,101.4
"Custom Region",China,2010,50,13737976,7074516,6663460,1.0,1.0,1.0,106.2
"Custom Region",China,2010,51,13619436,7050993,6568443,1.0,1.0,1.0,107.3
"Custom Region",China,2010,52,17991837,9324199,8667638,1.3,1.4,1.3,107.6
"Custom Region",China,2010,53,17254843,8836179,8418664,1.3,1.3,1.3,105.0
"Custom Region",China,2010,54,16521718,8411046,8110672,1.2,1.2,1.3,103.7
"Custom Region",China,2010,55,18058760,9223407,8835353,1.4,1.3,1.4,104.4
"Custom Region",China,2010,56,16986863,8612743,8374120,1.3,1.3,1.3,102.8
"Custom Region",China,2010,57,15865647,8023809,7841838,1.2,1.2,1.2,102.3
"Custom Region",China,2010,58,15443245,7806654,7636591,1.2,1.1,1.2,102.2
"Custom Region",China,2010,59,13184167,6656201,6527966,1.0,1.0,1.0,102.0
"Custom Region",China,2010,60,13786398,7068073,6718325,1.0,1.0,1.0,105.2
"Custom Region",China,2010,61,11571011,5907976,5663035,0.9,0.9,0.9,104.3
"Custom Region",China,2010,62,10893281,5562787,5330494,0.8,0.8,0.8,104.4
"Custom Region",China,2010,63,10372604,5285866,5086738,0.8,0.8,0.8,103.9
"Custom Region",China,2010,64,9425069,4752754,4672315,0.7,0.7,0.7,101.7
"Custom Region",China,2010,65,8814541,4465224,4349317,0.7,0.6,0.7,102.7
"Custom Region",China,2010,66,8235186,4189346,4045840,0.6,0.6,0.6,103.5
"Custom Region",China,2010,67,7664436,3886100,3778336,0.6,0.6,0.6,102.9
"Custom Region",China,2010,68,7677576,3867124,3810452,0.6,0.6,0.6,101.5
"Custom Region",China,2010,69,7399077,3728941,3670136,0.6,0.5,0.6,101.6
"Custom Region",China,2010,70,6970983,3483782,3487201,0.5,0.5,0.5,99.9
"Custom Region",China,2010,71,6536413,3265557,3270856,0.5,0.5,0.5,99.8
"Custom Region",China,2010,72,6521598,3255664,3265934,0.5,0.5,0.5,99.7
"Custom Region",China,2010,73,6193087,3045458,3147629,0.5,0.4,0.5,96.8
"Custom Region",China,2010,74,5945645,2873329,3072316,0.4,0.4,0.5,93.5
"Custom Region",China,2010,75,5497182,2616516,2880666,0.4,0.4,0.4,90.8
"Custom Region",China,2010,76,5215621,2485447,2730174,0.4,0.4,0.4,91.0
"Custom Region",China,2010,77,4822097,2279772,2542325,0.4,0.3,0.4,89.7
"Custom Region",China,2010,78,4118581,1922640,2195941,0.3,0.3,0.3,87.6
"Custom Region",China,2010,79,3731284,1731631,1999653,0.3,0.3,0.3,86.6
"Custom Region",China,2010,80,3495651,1586773,1908878,0.3,0.2,0.3,83.1
"Custom Region",China,2010,81,2889239,1281090,1608149,0.2,0.2,0.2,79.7
"Custom Region",China,2010,82,2657650,1164475,1493175,0.2,0.2,0.2,78.0
"Custom Region",China,2010,83,2110650,909526,1201124,0.2,0.1,0.2,75.7
"Custom Region",China,2010,84,1805939,758269,1047670,0.1,0.1,0.2,72.4
"Custom Region",China,2010,85-89,5285859,2042015,3243844,0.4,0.3,0.5,63.0
"Custom Region",China,2010,90-94,1242257,404277,837980,0.1,0.1,0.1,48.2
"Custom Region",China,2010,95-99,160598,43032,117566,0.0,0.0,0.0,36.6
"Custom Region",China,2010,100+,10295,2141,8154,0.0,0.0,0.0,26.3
