" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Canada,1991,Total,28117900,13938200,14179700,100.0,100.0,100.0,98.3
"Custom Region",Canada,1991,0,401800,206400,195400,1.4,1.5,1.4,105.6
"Custom Region",Canada,1991,1,403300,206700,196600,1.4,1.5,1.4,105.1
"Custom Region",Canada,1991,2,386900,198200,188700,1.4,1.4,1.3,105.0
"Custom Region",Canada,1991,3,378000,193300,184700,1.3,1.4,1.3,104.7
"Custom Region",Canada,1991,4,383300,195800,187500,1.4,1.4,1.3,104.4
"Custom Region",Canada,1991,5,391900,200100,191800,1.4,1.4,1.4,104.3
"Custom Region",Canada,1991,6,393400,201100,192300,1.4,1.4,1.4,104.6
"Custom Region",Canada,1991,7,390500,199600,190900,1.4,1.4,1.3,104.6
"Custom Region",Canada,1991,8,388300,198500,189800,1.4,1.4,1.3,104.6
"Custom Region",Canada,1991,9,389000,199000,190000,1.4,1.4,1.3,104.7
"Custom Region",Canada,1991,10,389800,199200,190600,1.4,1.4,1.3,104.5
"Custom Region",Canada,1991,11,387600,198900,188700,1.4,1.4,1.3,105.4
"Custom Region",Canada,1991,12,380300,195200,185100,1.4,1.4,1.3,105.5
"Custom Region",Canada,1991,13,376200,193100,183100,1.3,1.4,1.3,105.5
"Custom Region",Canada,1991,14,379100,193900,185200,1.3,1.4,1.3,104.7
"Custom Region",Canada,1991,15,384600,197100,187500,1.4,1.4,1.3,105.1
"Custom Region",Canada,1991,16,386500,198100,188400,1.4,1.4,1.3,105.1
"Custom Region",Canada,1991,17,376800,192500,184300,1.3,1.4,1.3,104.4
"Custom Region",Canada,1991,18,383400,196000,187400,1.4,1.4,1.3,104.6
"Custom Region",Canada,1991,19,394500,201300,193200,1.4,1.4,1.4,104.2
"Custom Region",Canada,1991,20,415600,210800,204800,1.5,1.5,1.4,102.9
"Custom Region",Canada,1991,21,419900,213200,206700,1.5,1.5,1.5,103.1
"Custom Region",Canada,1991,22,418200,211500,206700,1.5,1.5,1.5,102.3
"Custom Region",Canada,1991,23,421400,212900,208500,1.5,1.5,1.5,102.1
"Custom Region",Canada,1991,24,433900,219200,214700,1.5,1.6,1.5,102.1
"Custom Region",Canada,1991,25,460600,233300,227300,1.6,1.7,1.6,102.6
"Custom Region",Canada,1991,26,498700,252800,245900,1.8,1.8,1.7,102.8
"Custom Region",Canada,1991,27,517000,262600,254400,1.8,1.9,1.8,103.2
"Custom Region",Canada,1991,28,527700,267600,260100,1.9,1.9,1.8,102.9
"Custom Region",Canada,1991,29,524600,265900,258700,1.9,1.9,1.8,102.8
"Custom Region",Canada,1991,30,532600,269600,263000,1.9,1.9,1.9,102.5
"Custom Region",Canada,1991,31,526800,266300,260500,1.9,1.9,1.8,102.2
"Custom Region",Canada,1991,32,517600,261400,256200,1.8,1.9,1.8,102.0
"Custom Region",Canada,1991,33,514600,260000,254600,1.8,1.9,1.8,102.1
"Custom Region",Canada,1991,34,506300,254700,251600,1.8,1.8,1.8,101.2
"Custom Region",Canada,1991,35,488500,245400,243100,1.7,1.8,1.7,100.9
"Custom Region",Canada,1991,36,487000,243900,243100,1.7,1.7,1.7,100.3
"Custom Region",Canada,1991,37,472100,235600,236500,1.7,1.7,1.7,99.6
"Custom Region",Canada,1991,38,454500,226600,227900,1.6,1.6,1.6,99.4
"Custom Region",Canada,1991,39,442600,222000,220600,1.6,1.6,1.6,100.6
"Custom Region",Canada,1991,40,437000,219500,217500,1.6,1.6,1.5,100.9
"Custom Region",Canada,1991,41,429800,216600,213200,1.5,1.6,1.5,101.6
"Custom Region",Canada,1991,42,424400,213300,211100,1.5,1.5,1.5,101.0
"Custom Region",Canada,1991,43,423100,213600,209500,1.5,1.5,1.5,102.0
"Custom Region",Canada,1991,44,424500,213900,210600,1.5,1.5,1.5,101.6
"Custom Region",Canada,1991,45,368700,186000,182700,1.3,1.3,1.3,101.8
"Custom Region",Canada,1991,46,344000,173700,170300,1.2,1.2,1.2,102.0
"Custom Region",Canada,1991,47,334100,168300,165800,1.2,1.2,1.2,101.5
"Custom Region",Canada,1991,48,324500,163600,160900,1.2,1.2,1.1,101.7
"Custom Region",Canada,1991,49,302900,152600,150300,1.1,1.1,1.1,101.5
"Custom Region",Canada,1991,50,291600,146600,145000,1.0,1.1,1.0,101.1
"Custom Region",Canada,1991,51,274600,138200,136400,1.0,1.0,1.0,101.3
"Custom Region",Canada,1991,52,267100,134200,132900,0.9,1.0,0.9,101.0
"Custom Region",Canada,1991,53,257100,129300,127800,0.9,0.9,0.9,101.2
"Custom Region",Canada,1991,54,249600,125000,124600,0.9,0.9,0.9,100.3
"Custom Region",Canada,1991,55,251600,125800,125800,0.9,0.9,0.9,100.0
"Custom Region",Canada,1991,56,247000,123300,123700,0.9,0.9,0.9,99.7
"Custom Region",Canada,1991,57,242200,121200,121000,0.9,0.9,0.9,100.2
"Custom Region",Canada,1991,58,247900,123500,124400,0.9,0.9,0.9,99.3
"Custom Region",Canada,1991,59,249700,124300,125400,0.9,0.9,0.9,99.1
"Custom Region",Canada,1991,60,248800,122700,126100,0.9,0.9,0.9,97.3
"Custom Region",Canada,1991,61,244100,119900,124200,0.9,0.9,0.9,96.5
"Custom Region",Canada,1991,62,234600,114100,120500,0.8,0.8,0.8,94.7
"Custom Region",Canada,1991,63,233800,112700,121100,0.8,0.8,0.9,93.1
"Custom Region",Canada,1991,64,228800,109200,119600,0.8,0.8,0.8,91.3
"Custom Region",Canada,1991,65,214120,100438,113682,0.8,0.7,0.8,88.3
"Custom Region",Canada,1991,66,207393,96693,110700,0.7,0.7,0.8,87.3
"Custom Region",Canada,1991,67,200557,92887,107670,0.7,0.7,0.8,86.3
"Custom Region",Canada,1991,68,193627,89030,104597,0.7,0.6,0.7,85.1
"Custom Region",Canada,1991,69,186615,85133,101482,0.7,0.6,0.7,83.9
"Custom Region",Canada,1991,70,179531,81202,98329,0.6,0.6,0.7,82.6
"Custom Region",Canada,1991,71,172372,77241,95131,0.6,0.6,0.7,81.2
"Custom Region",Canada,1991,72,165126,73247,91879,0.6,0.5,0.6,79.7
"Custom Region",Canada,1991,73,157783,69220,88563,0.6,0.5,0.6,78.2
"Custom Region",Canada,1991,74,150324,65156,85168,0.5,0.5,0.6,76.5
"Custom Region",Canada,1991,75,142741,61056,81685,0.5,0.4,0.6,74.7
"Custom Region",Canada,1991,76,135021,56921,78100,0.5,0.4,0.6,72.9
"Custom Region",Canada,1991,77,127168,52758,74410,0.5,0.4,0.5,70.9
"Custom Region",Canada,1991,78,119192,48581,70611,0.4,0.3,0.5,68.8
"Custom Region",Canada,1991,79,111111,44404,66707,0.4,0.3,0.5,66.6
"Custom Region",Canada,1991,80,102664,40145,62519,0.4,0.3,0.4,64.2
"Custom Region",Canada,1991,81,93886,35845,58041,0.3,0.3,0.4,61.8
"Custom Region",Canada,1991,82,85111,31655,53456,0.3,0.2,0.4,59.2
"Custom Region",Canada,1991,83,76413,27618,48795,0.3,0.2,0.3,56.6
"Custom Region",Canada,1991,84,67871,23777,44094,0.2,0.2,0.3,53.9
"Custom Region",Canada,1991,85-89,223055,70826,152229,0.8,0.5,1.1,46.5
"Custom Region",Canada,1991,90-94,80522,20421,60101,0.3,0.1,0.4,34.0
"Custom Region",Canada,1991,95-99,16956,3278,13678,0.1,0.0,0.1,24.0
"Custom Region",Canada,1991,100+,1841,268,1573,0.0,0.0,0.0,17.0
